Date,Close,High,Low,Open,Volume,PD,XC,KK,YP,XL,CC,SQ,GR,DX,OD
2026-08-24,970.0,980.0,900.0,980.0,25200,0.0001,-0.0061,0.0,-0.0001,-0.0014,-0.0004,0.0,0.0079,0.0,-0.0
2026-08-26,945.0,950.0,920.0,930.0,27600,-0.0199,0.0001,0.0,-0.0,-0.0004,0.0056,0.0,0.0146,0.0,0.0
2026-08-27,970.0,1000.0,940.0,940.0,13800,0.0,-0.0078,0.0,-0.0,-0.0009,-0.0009,0.0,0.0097,-0.0001,0.0
2026-08-28,955.0,985.0,945.0,985.0,1000,0.0001,-0.0,-0.0002,-500.0,0.0004,-0.0001,-0.0002,0.0,0.0,0.0
