Date,Close,High,Low,Open,Volume,AK,SF,BR,YB,XL,KK,AO,LG,YU,YP,SQ,AZ,PC,CP,CC,EP,PD,OD,RO,XC,AT,ID,NI,BQ,BK,MG,ZR,SH,YJ,DR,QA,MI,SA,KI
2026-08-24,1495.0,1610.0,1440.0,1610.0,717600,0.0656,-0.0073,-0.0086,0.0046,0.0647,0.0013,0.0145,0.001,-0.0154,-0.219,-0.0011,0.0,-0.0094,-0.0029,0.1926,0.0001,-0.003,-0.0003,0.0007,0.0392,0.0117,-0.1757,0.0033,0.1781,0.0,0.0065,-0.0313,-0.0038,0.0162,0.009,0.0,-0.134,0.003,-0.0003
2026-08-26,1425.0,1495.0,1370.0,1495.0,409000,-0.0707,0.0,0.0,-0.0003,0.0104,0.0042,0.0,-0.0003,-0.0148,0.0016,0.0027,0.0,0.0,-0.0391,0.1991,-0.0004,0.0069,0.0038,0.0041,0.0048,-0.001,0.0075,-0.0063,-0.1307,0.0,0.0207,-0.0033,-0.0132,0.0123,0.0014,-0.0001,-0.0028,0.0034,0.0
2026-08-27,1425.0,1455.0,1365.0,1425.0,184700,-0.0112,0.0,0.0,-0.0069,-0.0176,-0.0028,0.0,-0.0004,0.0,-0.0008,-0.0003,0.0,-0.0,-0.0017,0.0371,-0.0,0.0004,0.0179,0.0019,0.0031,-0.0195,0.004,-0.0006,0.0001,-0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,1390.0,1425.0,1305.0,1425.0,733100,0.0376,0.0034,0.009,0.004,-0.0002,-0.002,0.0036,0.0003,0.0003,0.0136,0.0007,-0.7771,0.0175,0.0012,0.6703,0.0005,0.004,0.0069,0.0011,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
