Date,Close,High,Low,Open,Volume,AT,CP,RO,NI,SQ,QA,XL,YB,CD,AZ,KI,IN,AG,DX,YP,OD,DH,XC,LG,HD,PD,BQ,HP,EP,DR,BK,MG,YU,AK,GR,CC,KK,XA,TP,IF,RF,PO,AI,GI,MU,AO,YJ,JB,ZP,DU,PC,BR,FZ,ES,ZR
2026-08-24,88.0,96.0,87.0,90.0,176844700,0.0654,-0.066,-0.0221,-0.0516,0.0713,0.005,-1.1,-0.0388,-0.0036,0.4135,0.0049,0.0011,0.0009,0.0053,0.1913,0.0573,-0.0035,-0.0947,0.1992,0.037,-0.4955,0.1011,0.0026,0.0073,0.0945,0.0,0.0502,0.0097,-0.0033,-0.0812,0.6299,0.0551,0.1145,-0.1787,0.0,0.0,0.0,0.0,0.0,0.0202,-0.0061,-0.0004,0.0,-0.021,-0.0,0.0,0.0056,0.0005,-0.0004,-0.018
2026-08-26,82.0,94.0,80.0,88.0,93317200,-0.1015,-0.1395,-0.0025,0.0768,0.0574,-0.005,-0.0693,0.0359,0.0001,0.0862,0.0022,-0.0011,0.0,-0.0025,0.1514,-0.0442,0.0019,0.0137,0.0042,-0.0143,-0.0817,-0.0551,0.0093,-0.0015,0.0174,-0.0,-0.0293,0.0007,0.2102,0.0168,-0.333,0.0666,0.1053,-0.0004,0.0,0.005,0.0,0.003,0.0,0.0,0.0175,-0.0002,0.0002,-0.0009,0.0,0.0001,0.0,0.0,0.0,0.0
2026-08-27,93.0,97.0,81.0,81.0,156882200,-0.0223,0.0228,0.0047,-0.1023,-0.1189,-0.0047,-0.9123,0.0257,-0.0006,-0.0208,-0.0023,0.0,0.0003,-0.0089,0.3589,-0.0346,-0.0526,-0.1254,-0.1418,-0.0461,-0.1516,-0.0289,0.0008,0.0249,0.0512,0.0941,-0.0157,-0.0436,0.1918,0.0,0.6308,-0.0779,0.4203,0.1307,0.0096,-0.0053,-0.0004,-0.0033,0.0,-0.0284,-0.0178,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,95.0,95.0,90.0,93.0,40053200,0.0154,0.1708,-0.0001,0.0015,-0.0017,0.0037,-0.0279,-0.0669,-0.0011,-0.1304,-0.0,0.001,0.0017,-0.0002,0.3153,0.0024,-0.0001,-0.0275,-0.0655,0.0045,-0.0165,0.1487,-0.0028,-0.0155,-0.0707,0.0038,0.0372,-0.0005,-0.0005,-0.0175,0.0212,-0.0138,-0.3389,0.0709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
