Date,Close,High,Low,Open,Volume,YU,FS,CD,MG,YB,AG,CC,HD,DR,LG,LS,XC,GR,NI,KK,AZ,PD,TP,IF,EP,DH,XA,AK,RO,YP,AT,XL,CP,OD,QA,SQ,BQ,ZP,BK,RG,YJ,AI,KI,FZ,HP
2026-08-24,850.0,875.0,840.0,875.0,9372100,0.0013,0.0034,0.0,0.0135,-0.0018,0.0,0.0129,-0.007,0.0034,0.3268,0.0,-0.0428,0.0091,0.0831,0.0664,0.2461,0.0617,-0.007,-0.0053,0.013,0.0055,-0.0032,0.0338,0.0041,0.0035,0.0,-0.1991,-0.149,0.0206,0.0002,0.0102,0.0031,-0.1223,-0.3893,0.0,0.0,-0.0001,0.0002,0.0006,0.0045
2026-08-26,845.0,870.0,835.0,850.0,10477200,0.0,0.0,0.0,0.7182,0.0209,0.0,0.2755,0.0147,0.0103,-0.5685,0.0,0.0519,-0.0135,-0.0075,0.0457,-0.0625,0.0297,-0.0017,0.0,-0.0448,0.0038,-0.1036,-0.1526,0.0006,-0.052,0.0056,0.3981,0.0041,0.0459,0.0004,0.0606,0.0,-0.6312,-0.0508,0.0085,0.0,0.0174,-0.0231,0.0,0.0
2026-08-27,855.0,860.0,835.0,845.0,13465100,0.0,0.0,0.0,0.0827,-0.0153,0.0084,0.0995,-0.0082,-0.0002,0.001,0.0,0.0796,0.0092,-0.137,-0.0233,0.0001,0.0037,0.0,0.0,0.0001,0.0095,0.0101,-0.1378,0.0,0.1475,0.0001,0.0663,-0.1154,-0.0074,0.0,0.0056,-0.169,0.0693,0.0284,0.0084,0.0008,-0.0167,0.0,0.0,0.0
2026-08-28,880.0,900.0,860.0,865.0,12352600,0.0065,-0.0054,0.0002,0.0054,0.0127,0.0038,-0.1547,-0.0034,0.0071,-1.6,0.4865,0.1167,0.062,-0.2922,-0.1505,-0.0001,0.2368,-0.0027,0.0066,-0.076,-0.0454,0.0088,-0.4677,-0.006,0.0826,-0.0013,0.4955,0.1225,0.2786,0.0003,-0.0053,1.1,-0.2776,0.0138,0.0411,0.0,0.0,0.0,0.0,0.0
