Date,Close,High,Low,Open,Volume,II,TP,SF,SS,YB,XL,HD,LS,KK,JB,DH,YU,IF,FZ,XA,KI,YP,PC,CC,AR,DX,BQ,PD,GR,OD,IN,EL,XC,AK,BR,MG,YJ,FS,DR,PG,IC,OK,AO,IH,LG,IU,NI,AZ,SQ,CP,EP,AG,RG,BK,ZP,SH,QA,AI,MU,MI,AT,RF,TS,HP,RO,ID,BB,SA,ZR,GI,TF,CD
2026-08-24,448.0,464.0,446.0,460.0,204698800,3.5,0.1677,0.0,-2.7,-0.9497,7.2,0.0,0.0,0.4152,0.0,1.7,-10.1,-4.5,0.1385,1.9,0.5051,7.5,0.1154,2.1,-0.0153,0.0,0.3028,-0.7863,-2.2,0.1748,-0.0344,0.224,2.1,-3.9,0.0,-3.7,-0.1569,-0.2097,0.2511,0.2932,0.0,0.0,0.1304,0.0,0.0,-0.0096,0.5512,-2.9,1.1,0.1649,0.3362,-0.0471,0.0,-0.022,0.501,0.0,0.0,0.2462,0.0,0.0,0.1192,0.0,0.0,-0.2387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-26,412.0,450.0,412.0,448.0,396403000,4.4,1.1,0.4519,0.0,-0.7235,5.7,0.4836,0.0,1.3,-0.0076,-0.2336,1.3,-0.3463,0.0,0.3742,-9.3,0.0,1.4,3.8,-0.0169,0.4129,0.0,1.3,-4.7,1.9,0.0,1.8,3.2,2.5,-1.1,0.7221,0.3485,0.9746,-2.2,0.0,0.0,0.0,0.0,0.0,-4.2,-0.0403,0.8175,-3.3,1.8,-0.4486,-2.2,0.5605,0.0,2.2,-6.7,0.0,0.0,-2.9,2.6,-0.042,0.8364,0.0,0.0,0.0,0.0,-0.1053,-4.3,-0.0028,-0.1019,-0.001,-0.001,-0.5416
2026-08-27,438.0,444.0,404.0,406.0,457615800,1.2,-0.2724,0.0,0.0,-0.5536,1.5,-0.8128,0.0,1.4,0.0079,-4.7,5.3,-0.3238,-0.3618,0.3262,0.1975,-3.2,-1.3,2.7,0.0,0.6269,1.1,-2.5,3.8,-0.7775,0.0,0.4232,-2.6,7.5,0.4358,1.1,-2.4,-0.0848,-0.5973,-0.1217,0.0131,0.0,0.0,0.0,-3.4,0.0503,0.0,-1.6,-0.3215,-1.5,1.8,-2.5,0.0,3.1,-3.1,0.1717,0.0078,-0.3793,0.0105,-0.0657,-0.0725,0.011,0.9778,-0.095,0.0173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,430.0,448.0,426.0,442.0,301143200,-1.1,-0.115,-0.0234,-3.1,-0.1777,4.9,0.5176,-0.0045,-2.4,-0.008,5.1,-0.7173,-0.132,-0.0674,1.0,0.3992,3.4,0.2762,0.249,-0.0254,-1.8,0.2992,4.9,0.2265,0.5786,0.9938,1.3,2.2,-5.4,1.9,2.4,-8.1,-0.3515,0.2333,0.2131,-0.0134,-0.0044,0.8435,-0.3325,0.4747,-0.0493,1.1,-4.2,0.1403,-0.599,0.5355,-0.7001,-0.0043,-5.3,0.3306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
