Date,Close,High,Low,Open,Volume,FS,TP,KK,XL,XA,ZP,SQ,XC,PD,DH,YP,NI,CC,LG,CP,IN,AI,DR,IH,AZ,EP,HD,GR,KI,OD,MG
2026-08-24,280.0,288.0,276.0,286.0,406300,0.0006,0.0006,0.03,-0.0427,-0.0001,0.0006,0.0001,0.0004,0.0021,0.0,0.0062,0.0,0.0018,0.0001,0.0,-0.0028,0.0,0.0,0.0,0.0001,-0.0012,0.0,0.0,0.0028,0.0001,0.0014
2026-08-26,272.0,290.0,268.0,284.0,988100,0.0005,0.0005,0.0165,-0.1002,0.0,0.0005,0.0001,0.0436,0.0012,0.0,0.0283,0.0073,-0.0357,0.0,0.0011,0.0008,0.0047,0.0106,0.0059,0.0003,0.0,0.0001,0.0027,0.0082,0.0031,-0.0002
2026-08-27,272.0,280.0,264.0,276.0,212300,0.0,0.0,0.0428,-0.0048,0.0,0.0,0.0001,-0.0283,0.0,0.0,-0.0029,0.0,0.0018,0.0,0.0001,-0.0014,0.0002,-0.0014,-0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,272.0,274.0,268.0,272.0,252800,0.0005,0.0005,0.008,-0.0454,0.0,0.0005,0.0,0.0096,0.002,0.004,0.014,0.0004,0.0053,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
