Date,Close,High,Low,Open,Volume,MG,YB,CC,HD,NI,LG,DR,KK,XC,AZ,GR,PD,TP,IF,DH,AK,RO,AO,YP,AT,XL,CP,OD,SQ,KI,ZP,BK,EP,YU,AG,XA,JB,HP,RF,PC,QA
2026-08-24,1620.0,1630.0,1590.0,1630.0,1342500,-0.0489,0.0008,0.0411,-0.001,0.2548,0.1945,-0.0008,0.0052,-0.1315,-0.0008,-0.0043,0.0181,-0.0042,0.0002,0.018,-0.4153,0.0023,-0.0008,-0.1041,0.001,0.1293,0.004,-0.0796,0.0789,0.0002,0.0,0.0473,0.0044,0.0,0.0,-0.0003,0.0,-0.0081,0.0,0.0,-0.0002
2026-08-26,1595.0,1620.0,1595.0,1620.0,2440000,0.0,-0.0081,-0.627,0.0,-0.0695,-0.0225,0.0124,0.0673,0.2429,0.0,-0.0385,1.6,0.0803,0.0,0.0403,-0.68,0.0021,-0.0038,-0.1582,0.0517,0.5415,0.0179,0.0541,-0.5188,0.0008,0.0,0.0,0.0035,-0.2416,0.0,0.0,0.0,0.0,-0.32,0.0006,0.0
2026-08-27,1610.0,1610.0,1580.0,1600.0,1804300,0.0,0.0,0.4158,-0.0,0.0559,0.048,0.0003,0.0078,-0.0086,0.0,0.0053,-0.0083,0.1704,0.0003,0.0528,-0.6586,0.0097,-0.5397,-0.2234,-0.0037,0.3751,0.0649,0.0625,-0.0453,0.0008,-0.0171,0.1012,-0.3192,0.0528,-0.0016,0.0002,0.0002,0.0016,0.4,0.0,0.0
2026-08-28,1605.0,1615.0,1595.0,1610.0,739100,-0.0016,0.0072,0.0933,0.0008,0.1293,0.077,-0.0047,-0.0118,-0.1353,0.032,-0.0161,0.0275,-0.0201,-0.0032,0.0117,-0.3419,0.0007,0.0005,0.0302,0.0002,0.235,-0.0085,0.0092,-0.0997,-0.0003,-0.0116,-0.0128,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
