Date,Close,High,Low,Open,Volume,CC,YP,NI,MU,XL,XC,AZ,SQ,SF,PD,DH,RO,DR,CP,KI,BQ,IF,GR,EP
2026-08-24,110.0,113.0,109.0,113.0,825900,0.0021,-0.0383,0.0,0.0,0.0086,-0.0119,0.0,0.0,0.0,-0.0026,0.0,0.0001,0.0,-0.0169,0.0,0.0,0.0,-0.007,0.0659
2026-08-26,110.0,111.0,105.0,110.0,258200,0.0018,0.0098,0.0,0.0,-0.0115,0.0019,0.0,0.0,0.0055,0.0011,0.0,0.0001,-0.0028,-0.0054,0.0001,-0.0,-0.0005,0.0,0.0
2026-08-27,109.0,110.0,109.0,110.0,158200,-0.0003,0.0014,0.0,0.0,-0.0049,0.0035,0.0,0.0,0.0,0.0005,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,108.0,109.0,105.0,109.0,103200,0.0,0.0029,0.0001,0.0032,-0.0093,-0.0003,0.0002,0.0,0.0032,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
