Date,Close,High,Low,Open,Volume,YU,AG,MG,CC,HD,NI,DR,XC,AZ,FZ,PD,YJ,DH,RB,XA,SH,RO,YP,DX,AT,OD,BR,PG,ZP,AK,YB,LG,KK,GR,ID,TP,IF,AO,XL,CP,HP,AI,SQ,KI,BQ,BK,EP,RG,ZR,QA,CD,IN,RF,AD,FS,PO,SF,IU,MU,SS,AF,ES
2026-08-24,3140.0,3290.0,3000.0,3000.0,13760700,-0.6829,-0.0138,-0.8526,0.7206,0.0636,-0.2399,0.1702,-0.3762,0.1496,-0.0577,-0.1459,0.0081,0.0597,-0.0159,-0.0608,0.0318,0.2617,-0.5864,0.0,-0.0355,-0.433,0.0003,0.0041,-0.1272,0.1331,0.1476,0.0437,0.2957,0.489,-0.0006,-0.252,0.0885,-0.0402,3.6,1.2,0.0132,0.0,-3.6,-0.013,-0.0398,-0.0028,-0.1479,0.0,0.0016,-0.0081,0.0013,0.0,0.0032,0.0,-0.0064,0.0,0.0,-0.061,0.001,0.0063,0.3693,-0.0317
2026-08-26,3210.0,3580.0,2970.0,3150.0,53640000,-0.7825,-0.0069,0.6517,-0.2312,-0.0075,1.1,0.1078,3.3,-0.6896,-0.0549,2.7,0.0165,-0.1961,0.0,0.6958,0.0326,-0.1849,2.3,0.0,0.2683,-8.9,3.0,0.0,-0.0587,0.7093,2.6,-3.1,-0.3442,-0.501,0.0741,-0.8269,0.2664,-0.0174,1.7,-0.9826,0.0387,-0.0228,0.5434,-0.0208,-2.5,0.003,-0.759,-0.0616,0.0,-0.0144,0.2915,0.0011,-0.0115,-0.0085,0.01,-0.0097,0.0006,0.001,0.0,0.0,0.0,0.0
2026-08-27,3260.0,3340.0,3120.0,3160.0,12589200,-0.2536,0.0,0.9309,-0.7175,0.0328,0.0751,0.3178,0.0225,0.2863,0.0335,-0.1639,-0.0023,0.0967,0.0,0.0615,-0.0658,0.1531,1.0,0.0,0.0232,-2.0,-2.6,-0.0012,-0.1113,0.6561,0.4293,0.8317,-0.1535,2.5,-0.0325,0.0337,0.1946,0.0,-2.0,0.1954,0.0424,0.0498,-0.2011,0.2211,0.0657,-0.0056,0.0539,-0.0017,-0.0003,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,3200.0,3400.0,3190.0,3300.0,18236200,-0.2407,0.0798,-0.3351,1.3,0.0486,5.5,-0.1773,0.0241,0.6643,-0.0252,-1.6,0.0276,0.459,0.0053,-0.5437,0.0344,-0.0158,-1.2,0.019,-0.2045,-7.9,-0.2673,0.1276,-0.019,-1.7,-0.0318,0.9279,-0.1559,0.3875,0.0321,-0.1495,1.0,0.0059,2.5,0.129,0.2261,0.3673,0.2004,-0.0068,0.2837,0.046,0.0713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
