Date,Close,High,Low,Open,Volume,AK,BR,YB,XL,HD,KK,YJ,DR,IH,LG,DH,IU,NI,AI,FZ,ZP,XA,KI,YP,AZ,SQ,PC,CP,CC,EP,AR,PD,XC,RO,EL,TP,YU,BQ,OD,MG,AT,HP,AO,IF,QA,GR
2026-08-24,137.0,145.0,135.0,137.0,10762700,-0.0008,-0.0806,-0.0036,0.1256,0.0457,-0.0001,0.0063,0.0,0.0309,0.0,-0.0002,-0.0033,-0.0247,0.0003,-0.0836,0.0025,0.0,-0.0,0.362,-0.018,0.0307,-0.0108,0.0434,-0.1797,0.0238,-0.0337,0.0043,0.0399,0.0484,0.0505,0.0,-0.0018,-0.3623,-0.0104,-0.0029,-0.0006,-0.007,-0.0006,0.0014,0.0002,0.0087
2026-08-26,131.0,139.0,130.0,137.0,5989000,0.0001,-0.0695,0.0,0.0598,-0.046,0.0022,-0.0135,0.0,-0.0303,0.0,0.0001,-0.0876,-0.0009,0.0,0.0438,0.0,0.0,0.0,0.3634,-0.0626,0.0,-0.0415,0.0352,-0.0389,-0.0402,0.0459,0.0062,-0.037,-0.0369,-0.0498,0.0,0.0,0.0005,-0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-27,137.0,138.0,130.0,131.0,5240800,0.0006,-0.0988,0.0,0.0365,-0.0003,0.0122,0.0,0.0096,0.0,0.0003,-0.0,-0.0565,-0.0003,0.0,0.0342,0.0068,0.002,-0.0122,0.187,-0.0465,0.0,-0.1141,0.0426,0.0967,-0.0014,0.0218,0.0024,-0.046,0.0,0.0,0.0006,-0.0516,-0.0272,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,135.0,138.0,134.0,137.0,7403900,0.0003,-0.0745,0.0076,-0.0109,0.0276,-0.0066,0.0056,-0.0,0.0296,0.0001,0.0235,-0.1248,0.0073,0.0005,-0.0882,0.0007,-0.0134,-0.0014,0.456,-0.1327,-0.0059,-0.1102,0.0015,0.0168,0.0299,-0.0703,0.0164,-0.0305,0.0256,0.0203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
