Date,Close,High,Low,Open,Volume,PD,DR,HP,CC,NI,YB,RO,XL,SQ,YP,OD,RS,XC,CP,LG,BQ,MG,FS,FZ,GR,AG,EP,XA,TP,QA,KK,YU,PO
2026-08-24,16.0,16.0,16.0,16.0,12416400,0.0008,0.0,0.0,0.001,0.0005,-0.0038,0.0,0.0286,0.0016,0.0104,-0.0038,0.0,-0.1062,0.0252,-0.0079,0.0,0.0592,0.0,0.0,0.0,-0.0008,-0.0003,0.0,0.0,0.0,0.0001,-0.0094,0.0048
2026-08-26,15.0,16.0,15.0,16.0,7999200,0.0002,0.0006,0.0,0.0025,0.0005,0.0186,0.0,-0.025,0.001,0.0045,0.0001,0.0,0.002,0.0125,0.0003,0.0,-0.0657,0.0,0.0,0.0006,0.0003,-0.0005,0.0533,0.0,-0.006,0.0,0.0,0.0
2026-08-27,16.0,16.0,15.0,16.0,3158400,0.0012,0.0,0.0,-0.001,-0.0004,-0.0014,0.0,0.0161,-0.0,-0.0004,0.0,0.0,-0.0,0.0082,-0.0,0.0003,-0.0221,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,15.0,16.0,15.0,15.0,1101600,0.0009,0.0,0.0,0.0,0.0,0.0006,-0.0002,-0.0047,0.0004,0.0012,0.0017,0.0008,0.0022,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
