Date,Close,High,Low,Open,Volume,AZ,PC,AO,EP,ZP,HD,SQ,LS,YP,CP,KK,XL,XA,CD,YB,PD,XC,AK,DH,NI,CC,GR,KI,OD,AT,BK,DR,DX,BQ,YU,TP
2026-08-24,725.0,750.0,705.0,705.0,710500,-0.0001,0.0,0.0004,-0.0027,0.0581,-0.0001,0.0012,0.0,-0.024,-0.0004,-0.0148,-0.0291,-0.0072,-0.0174,-0.0087,-0.0756,-0.0163,-0.0908,-0.0091,0.0201,0.0871,0.006,-0.0001,-0.0001,0.0,0.0,0.1112,0.0,-0.0001,-0.005,0.0178
2026-08-26,715.0,730.0,710.0,725.0,164900,0.0,0.0,-0.0044,0.0005,0.0001,0.0001,0.0593,0.0,0.0025,0.0,-0.0045,0.0267,0.0,0.0,0.0,-0.0007,-0.0001,-0.0001,0.0,-0.0127,-0.0592,-0.0002,0.0,0.0,0.0,0.0,-0.0023,-0.0143,0.009,0.0,0.0
2026-08-27,735.0,735.0,710.0,715.0,571400,0.0,0.0,-0.0324,0.0,0.0001,-0.0001,-0.0174,-0.0002,-0.0079,0.0,-0.032,0.1362,0.0,-0.0038,-0.0,0.1416,-0.0004,-0.0018,0.0,-0.0001,-0.1501,0.0078,-0.0003,0.0175,-0.0001,0.0002,-0.0565,0.0,0.0,0.0,0.0
2026-08-28,735.0,735.0,715.0,730.0,429200,-0.0005,0.0766,-0.1597,-0.0484,0.0001,-0.0001,0.0001,-0.0145,0.0038,-0.0025,-0.0007,0.08,0.0016,0.0144,0.0062,0.0304,-0.0002,0.0012,0.0004,-0.0199,0.0316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
