Date,Close,High,Low,Open,Volume,PD,XL,NI,CC,XC,KK,SQ,AZ
2026-08-24,905.0,925.0,890.0,905.0,6000,0.0002,0.0011,0.0,-0.0034,0.0021,0.0,0.0,0.0
2026-08-26,905.0,905.0,885.0,905.0,1800,0.0,0.0005,0.0,0.0,-0.0006,0.0,0.0,0.0002
2026-08-27,895.0,900.0,890.0,895.0,8800,0.0,0.0034,0.0,0.0,-0.0011,-0.0024,0.0001,0.0
2026-08-28,890.0,900.0,885.0,890.0,2700,0.0001,-0.0021,0.0018,0.0002,0.0,0.0,0.0,0.0
