Date,Close,High,Low,Open,Volume,RB,AK,TP,BR,YB,MG,XL,AT,HD,KK,DR,HP,GI,AO,LG,YU,QA,DU,NI,XA,ZP,KI,YP,SQ,AZ,CP,CC,EP,DX,BQ,PD,GR,OD,RO,XC,SF,DH,IF,FZ,AI,MU,IN,SA,ES,AG,CD,PC,RG
2026-08-24,75.0,80.0,74.0,80.0,44726000,0.0,0.2078,-0.0002,0.0,-0.0298,0.0023,0.0702,0.0008,-0.0026,-0.0207,-0.0154,-0.0039,0.0,-0.0001,0.0121,0.0008,0.0004,0.0,-0.3326,0.0014,0.0015,-0.0,0.1652,0.0181,0.0,0.2044,-0.1119,0.0117,0.0015,0.004,0.1,0.0096,0.0163,-0.0009,-0.1757,0.0,-0.0859,-0.0716,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0233,0.0,0.0
2026-08-26,75.0,81.0,74.0,76.0,49220500,0.0,-0.2082,0.0011,0.0,0.0015,-0.0009,0.6204,0.0012,-0.002,-0.072,-0.0051,-0.0025,0.0,0.0154,0.0592,0.0009,0.0019,0.0,-0.0298,0.0207,-0.0092,0.0001,0.1701,0.0097,0.0034,-0.2299,-0.1562,-0.0244,-0.0016,0.0403,-0.1614,-0.013,0.0176,-0.0001,-0.021,0.0,-0.0312,0.0002,0.0,-0.0,0.0001,0.0,0.0008,0.0,-0.0031,0.0053,0.0015,-0.0
2026-08-27,78.0,83.0,72.0,75.0,96283300,-0.0024,0.3339,0.0003,0.0,0.0007,0.0179,0.2893,0.0023,0.0008,-0.7925,0.1594,0.0001,0.0023,0.0559,-0.0921,0.0,-0.0001,0.02,0.0083,-0.0137,0.0031,-0.0001,-0.0358,-0.05,0.0019,-0.0784,0.0835,-0.0115,-0.0,-0.0249,-0.1293,0.0499,0.0304,0.0011,0.1664,0.0016,-0.0,0.006,0.0001,-0.0001,-0.0,0.0,-0.004,0.0,-0.0002,-0.0003,0.0,0.0
2026-08-28,77.0,79.0,75.0,79.0,25624300,0.0043,-0.2035,-0.0205,-0.1528,0.0137,0.0053,0.1286,0.0015,-0.0005,-0.0024,-0.0078,0.0,-0.0024,0.0153,0.0629,0.0004,-0.0014,-0.0197,-0.0042,0.0179,0.0047,0.0001,0.0989,0.0273,0.0001,0.0216,-0.3263,0.0134,0.0023,-0.0058,0.068,0.0016,0.0066,-0.0058,0.2586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
