Date,Close,High,Low,Open,Volume,DR,MG,GR,HP,PG,RO,SQ,OD,YU,KK,AT,LG,PD,AZ,RF,EP,XA,CC,BB,IF,NI,ZP,XL,DP,KI,AK,BQ,ES,DH,XC,AG,YB,AI,TP,YP,HD,CP,DX,BK,FZ,AR,AO,CD,PC,RG,KZ,TS,YJ,AF,SH,SS,TF,IU,IH
2026-08-24,10250.0,10325.0,9775.0,9800.0,14031000,-0.4231,-22.4,7.0,-0.1279,-1.1,0.0,-5.3,-1.6,-1.8,-3.3,-0.4498,-1.8,-0.4748,-1.2,-1.6,-1.7,2.0,4.3,12.8,-0.2927,14.1,4.3,-19.4,0.0,0.0,27.4,-0.4929,-1.4,-0.3533,-1.7,-0.568,0.0404,0.2962,0.0,-7.1,0.445,-0.2085,0.0229,5.3,0.0,0.0,-0.1339,0.0,0.0,0.0,-3.4,0.0,0.0,0.0,0.4725,0.0,0.0,0.0103,0.25
2026-08-26,10000.0,10250.0,9975.0,10200.0,9256700,-0.4014,-7.6,2.0,-0.008,0.0,-0.1028,2.8,1.7,2.1,0.2899,-0.0365,-0.4179,-0.9017,-0.3155,0.9895,0.0789,4.1,14.3,1.2,0.0189,-0.9893,-1.4,-1.6,0.0,1.3,-0.4218,0.0889,1.1,0.0772,-0.3207,-0.005,0.1691,0.6053,3.8,-1.3,-0.6315,-1.1,0.2462,-15.8,0.0,0.0,0.0503,0.005,0.007,0.0003,-2.6,-0.0505,-0.003,0.005,-0.001,-1.1,-0.003,0.0,0.0
2026-08-27,10125.0,10175.0,9900.0,9900.0,4773900,-0.0662,-19.1,1.2,0.005,0.0,0.0978,1.1,1.0,1.6,-0.1298,0.0061,0.0525,5.0,-0.0624,0.0,0.3069,5.1,2.2,-2.4,0.001,0.5092,0.6961,-0.9249,0.0,-0.2589,2.6,-0.1635,-0.0101,-0.0124,-0.4163,0.0573,-0.375,0.0001,-0.8306,-0.7307,0.1585,0.6934,-0.0081,2.8,-0.0202,-0.0314,-0.0202,0.0203,-0.003,-0.0003,0.5214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,10225.0,10250.0,10050.0,10125.0,5259500,0.0879,-4.5,-0.5001,0.0222,-0.1018,-0.1397,-1.2,7.8,3.4,-0.1203,-0.081,-0.1086,-4.2,-0.0056,3.0,0.0311,-0.0285,9.2,0.0678,0.001,-1.4,-6.2,-2.6,0.3482,-0.0307,-7.1,-0.2394,-0.1534,-0.1014,-0.1914,-0.0479,-0.0875,-0.0423,0.0387,-1.9,-0.3193,1.8,1.4,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
