Date,Close,High,Low,Open,Volume,YU,CD,AG,MG,CC,YB,LG,NI,KK,DR,XC,AZ,GR,PC,PD,TP,YJ,IF,DH,XA,AK,RO,YP,AT,XL,CP,HP,OD,AI,SQ,QA,KI,BQ,BK,EP,MU,DU,ZP,PI,GI,RB,PO,LS,AO,AR,IH
2026-08-24,68.0,70.0,66.0,67.0,31533100,0.0,0.0,0.0,-0.0176,0.0772,-0.0339,-0.0007,0.0013,0.0112,0.3124,-0.0347,-0.009,-0.0003,-0.0209,-0.0519,-0.002,0.0,0.0006,0.0012,0.0021,0.004,0.0001,-0.1341,-0.0757,0.1788,-0.0183,-0.0007,-0.0084,0.0,-0.0861,-0.002,0.0,-0.0441,-0.0108,-0.0308,0.0,0.0,-0.0084,0.0013,0.0,0.0,0.0,0.0,-0.0001,-0.0001,0.0001
2026-08-26,68.0,73.0,67.0,68.0,116354900,0.0001,-0.0105,0.0095,0.0744,-0.0695,-0.0111,-0.0038,-0.0503,0.2793,-0.1069,0.122,0.0002,-0.0124,-0.014,-0.1594,-0.0017,0.0014,0.0001,0.0154,-0.0719,-0.0741,-0.0004,0.0141,-0.0244,-0.0276,0.1111,0.0,0.0121,0.0177,0.0404,-0.002,0.0011,-0.0253,-0.0042,-0.0073,-0.0002,0.0,-0.0053,-0.0015,0.0,-0.0119,0.0003,-0.0001,-0.0035,0.0,0.0
2026-08-27,69.0,70.0,64.0,68.0,31864500,0.0,0.0,0.0,0.0399,-0.0333,-0.0001,0.0,-0.0816,-0.1716,-0.2063,-0.0148,0.0392,0.0066,-0.0118,0.164,-0.0097,-0.001,-0.007,0.0,-0.0001,0.1454,0.0005,-0.0284,-0.0009,0.0763,-0.0057,-0.0129,-0.0085,0.0,0.008,-0.0001,0.0,0.0387,0.057,0.017,-0.0003,-0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,70.0,72.0,69.0,69.0,24209800,-0.0014,0.0105,0.0,-0.0433,0.1132,-0.0102,0.0105,-0.0012,0.0522,-0.0146,-0.0113,0.0031,0.0,-0.021,-0.0134,0.0006,-0.002,-0.0072,0.007,0.0001,-0.0187,0.0,0.0016,0.0007,-0.0252,-0.0431,0.0009,-0.0033,-0.0036,0.0104,-0.0,-0.0001,0.0224,-0.0053,-0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
