Date,Close,High,Low,Open,Volume,IF,YP,MG,XL,XC,CC,OD,ZP,PD
2026-08-24,4790.0,4790.0,4790.0,4790.0,10100,0.0,0.0388,0.0,-0.0302,-0.001,-0.0048,0.0,-0.0024,-0.0005
2026-08-26,4800.0,4800.0,4790.0,4790.0,600,0.0,0.0024,0.0,-0.001,-0.0014,0.0,0.0,0.0,0.0
2026-08-27,4810.0,4810.0,4770.0,4770.0,15400,0.0,0.0696,0.0,0.0014,0.0,0.0005,-0.0716,0.0,0.0
2026-08-28,4820.0,4820.0,4810.0,4810.0,300,-0.0005,-0.0005,-0.0005,0.001,0.0005,0.0,0.0,0.0,0.0
