Date,Close,High,Low,Open,Volume,MG,RO,YB,YP,CC,DR,KK,XL,XC,PD,NI,BK,OD,SQ,AK,LG,GR,DH,EP,AT
2026-08-24,1355.0,1375.0,1305.0,1370.0,155600,0.0,0.0,0.002,0.0066,-0.0016,0.0,-0.1142,0.002,0.0451,0.0141,-0.0011,0.0,-0.0058,0.0003,0.0019,0.0,0.0505,0.0001,0.0,0.0001
2026-08-26,1340.0,1380.0,1335.0,1355.0,105700,0.0,0.0007,-0.0003,-0.0509,-0.0,0.0,-0.0082,0.0048,-0.0592,0.0038,-0.0003,0.0,0.0023,-0.0,0.0079,-0.004,0.1073,-0.0013,-0.0025,0.0
2026-08-27,1360.0,1400.0,1335.0,1375.0,13700,0.0,-0.0003,0.0,0.0005,-0.0107,0.0,-0.0,-0.0037,0.0,0.0004,-0.0003,0.0008,0.0128,0.0003,0.0001,0.0,0.0,0.0,0.0,0.0
2026-08-28,1355.0,1380.0,1350.0,1380.0,13500,-0.0001,0.0015,0.0117,0.0007,-0.0027,-0.001,-0.011,-0.0004,0.0016,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
