Date,Close,High,Low,Open,Volume,LG,HD,PD,AT,BQ,DU,EP,SQ,NI,RB,DR,XL,GR,CC,KK,DX,YP,XA,OD,DH,XC,AI,CP,RO,IF,BK,DP,YU,ZP,PC,IT,KI,YJ
2026-08-24,585.0,595.0,585.0,590.0,769300,0.0,-0.0001,0.008,-0.0012,0.0001,0.0,0.0585,0.0129,-0.0274,-0.084,0.0,-0.1155,0.0375,0.0642,0.0104,0.0,0.0087,0.0,-0.0086,0.0004,0.0332,0.0,0.0001,0.0001,0.0,-0.0007,0.0,0.0,0.0,0.0,0.0117,0.0,-0.0083
2026-08-26,585.0,590.0,585.0,585.0,535000,0.0023,0.0001,0.0006,0.0,0.0003,0.0,-0.0001,0.0129,0.0054,-0.0565,0.0006,0.071,0.0093,-0.0246,0.0385,0.0,-0.0103,0.0,-0.0011,0.0143,-0.0568,0.0,0.004,0.0005,0.0,0.0,0.0,0.0041,0.0001,-0.0001,0.0059,0.0008,-0.0212
2026-08-27,585.0,590.0,580.0,585.0,591500,0.0002,-0.0001,-0.0027,-0.0002,0.0002,0.0,0.0585,0.0037,0.0063,-0.0673,0.0,0.0175,0.0094,0.0794,0.0004,0.0,-0.143,0.0293,-0.0065,0.0005,0.0163,-0.0293,-0.0091,-0.0003,-0.0007,-0.0023,0.036,0.0036,0.0,0.0,0.0,0.0,0.0
2026-08-28,585.0,590.0,585.0,585.0,204300,0.0001,0.0001,0.0014,-0.0029,0.0006,0.0001,0.0088,0.0016,0.0037,-0.0192,-0.0118,-0.0268,-0.0047,0.0025,0.0001,-0.0006,0.0115,0.0002,0.0256,0.0059,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
