Date,Close,High,Low,Open,Volume,PD,EP,MG,DR,BQ,GR,NI,CC,YB,XL,SQ,YP,OD,DH,XC,KK,DX,AZ,AG
2026-08-24,240.0,242.0,236.0,240.0,17300,-0.0001,-400.0,0.0,0.0,-0.0,-0.0024,0.0001,0.0021,0.0,-0.0006,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
2026-08-26,234.0,244.0,234.0,236.0,55400,0.002,0.0007,0.0,0.0,-0.0001,-0.0016,0.0002,0.0012,0.0,-0.004,0.0001,0.0005,0.0004,0.0,0.0007,0.0,0.0,-0.0,0.0
2026-08-27,240.0,240.0,234.0,240.0,16200,0.0003,-0.0002,0.0,0.0,-0.0,0.0,0.0,0.0007,0.0,-0.0001,-0.0,0.0,-0.0001,0.0,-0.0006,0.0,0.0,0.0,0.0
2026-08-28,244.0,300.0,234.0,240.0,2767900,0.0069,0.0014,0.0009,0.0005,-0.0,-0.0097,0.0853,-0.0068,-0.0,0.0526,-0.0002,-0.0271,0.0028,-0.107,-0.0166,0.0171,0.0,0.0,0.0
