Date,Close,High,Low,Open,Volume,MG,CC,NI,DR,KK,XC,PD,TP,YP,XL,OD,BR,SQ,BQ,AK,EP,AT,SF,CP,FZ,YB,XA
2026-08-24,123.0,124.0,121.0,123.0,309100,-0.0024,0.0017,0.0136,0.0,0.0,0.0053,-0.0014,0.0,0.0001,-0.0181,-0.0017,0.0,-0.0,-0.0003,0.0001,0.0036,0.0,0.0,0.0,-0.0003,0.0002,-0.0005
2026-08-26,122.0,124.0,120.0,124.0,326900,0.0,-0.0,0.005,0.0,0.0,0.0181,0.0014,0.0,-0.0031,-0.0149,0.0,0.0,-0.0012,0.0,0.0001,0.0,-0.0008,0.0,-0.003,-0.0016,0.0,0.0
2026-08-27,121.0,122.0,119.0,122.0,199300,0.0,0.0015,0.0049,0.0,0.0,0.0012,0.0007,0.0,0.0029,-0.004,-0.0005,0.0,0.0001,0.0,0.0001,0.0004,0.0004,-0.0077,0.0,0.0,0.0,0.0
2026-08-28,122.0,124.0,120.0,121.0,235000,0.0048,0.0019,-0.0045,0.0,-0.0045,0.0011,-0.0039,-0.0,-500.0,0.0043,-0.0,-0.0003,-0.0005,-0.002,0.0001,0.0036,0.0,0.0,0.0,0.0,0.0,0.0
