Date,Close,High,Low,Open,Volume,CC,YP,NI,KK,XL,XC,OD,PD,EP,DH,MG,KI,AT,ZP,XA
2026-08-24,304.0,308.0,300.0,308.0,55300,0.0,-0.0064,0.0,0.0,0.0065,0.0003,-0.0002,0.0,0.0,-0.0002,0.0,0.0,0.0,-0.0,-0.0002
2026-08-26,306.0,310.0,304.0,306.0,49600,0.0009,-0.0027,0.0062,-0.0039,-0.0032,-0.0002,0.0024,0.0006,0.0001,-0.0001,0.0,0.0,-0.0,0.0,0.0
2026-08-27,308.0,308.0,304.0,308.0,17800,0.0006,-0.0003,0.0,-0.0002,-0.0032,-0.0008,0.0025,-0.0001,0.0001,-0.0001,0.0011,0.0005,0.0,0.0,0.0
2026-08-28,308.0,308.0,304.0,308.0,7800,0.0004,0.0003,0.0006,-0.0001,-0.0013,0.0002,-0.0002,0.0,0.0001,-200.0,0.0,0.0,0.0,0.0,0.0
