Date,Close,High,Low,Open,Volume,YU,CD,AG,MG,CC,HD,NI,DR,AR,XC,AZ,BB,PD,YJ,DH,XA,SH,RO,YP,DX,AT,OD,ZP,AK,YB,LG,KK,GR,TP,IF,XL,CP,HP,QA,SQ,KI,IT,BQ,BK,EP,LS,AO,FZ,PC,RX,ES,IH,RB,IN,KZ,AI
2026-08-24,1465.0,1480.0,1440.0,1460.0,11274600,-0.1717,0.0,0.0152,0.0022,-1.6,-0.0124,-0.3854,-0.1535,0.0007,0.0228,0.082,1.1,0.0404,0.0145,-0.0499,0.0073,-0.0007,0.0108,-0.0202,0.0,0.0083,0.115,2.1,-2.6,0.0937,0.083,0.0169,-0.1235,0.7659,-0.1521,0.5883,-0.0865,-0.0119,-0.0006,0.1349,-0.0323,0.0,-0.6248,-2.0,-0.0605,0.0,0.0348,0.0146,0.0,0.0,0.0,-0.059,-0.0073,-0.2566,3.1,-0.0036
2026-08-26,1420.0,1460.0,1415.0,1455.0,11624600,-0.8333,0.01,0.044,-0.0015,0.1289,0.0013,0.0021,-0.0012,0.0312,-0.0721,-0.0489,0.8395,-0.8566,0.0142,0.0337,0.0576,0.0,-0.034,-0.2134,-0.0288,-0.0253,-0.8323,3.4,-2.1,0.1642,1.3,-0.1362,-1.1,-0.6316,-0.0001,0.7958,1.4,0.0512,0.0,0.4326,0.1451,0.0,-0.4322,-1.2,-0.0515,-0.003,0.1151,0.0288,0.0015,-0.324,-0.0007,0.0,0.0,0.0,0.0,0.0
2026-08-27,1460.0,1470.0,1400.0,1420.0,6928300,-0.0491,-0.0022,-0.0104,-0.005,-0.2971,0.0423,-0.0557,-0.0348,-0.0438,0.0808,0.5652,-0.3078,-0.0122,-0.1607,-0.0081,0.0,0.0,0.0478,-0.1917,0.0,-0.0078,-0.6565,1.7,1.8,0.0499,0.0502,-1.4,0.0788,-0.8258,0.0,-0.2337,0.0128,-0.0061,0.0,0.1801,-0.1069,0.0,-0.017,-0.0295,-0.0409,-0.0053,-0.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,1465.0,1485.0,1455.0,1470.0,6431400,-0.0007,0.0031,0.1174,-0.0022,0.4464,-0.0361,-0.0813,0.0828,-0.0022,0.1038,0.1435,-0.7843,0.2029,-0.0178,0.0279,-0.0293,-0.0408,-0.0316,0.1225,0.133,-0.005,-0.2264,1.7,-1.6,0.0709,-0.0001,-0.1388,-0.014,-0.3121,0.0001,0.4663,-0.2841,0.0007,0.0001,0.2463,-0.0437,-0.022,0.0755,-0.3041,0.0146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
