Date,Close,High,Low,Open,Volume,YB,CC,NI,KK,LS,XC,GR,PD,IF,SH,YP,XL,HP,OD,SQ,BQ,ZP,YJ,DH,DX,CP,AI,XA,RO,EP
2026-08-24,580.0,585.0,575.0,580.0,44600,0.0,0.002,0.0007,-0.0002,0.0016,-0.0001,0.0,0.011,-0.0012,0.0,0.0001,-0.008,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,-0.0053,-0.0001,500.0
2026-08-26,585.0,585.0,580.0,580.0,225500,0.0,-0.0283,0.0,0.0134,0.0,-0.0031,0.0,0.0268,0.0,0.0,0.0001,-0.0092,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0
2026-08-27,600.0,625.0,585.0,590.0,559300,0.001,-0.0415,-0.0004,0.0001,0.0,-0.0046,-0.0024,-0.0294,0.0,-0.0058,0.1922,0.0076,-0.0014,0.0001,-0.0032,-0.0001,0.0,-0.0357,-0.0001,0.0004,-0.0771,0.0002,0.0,0.0,0.0
2026-08-28,600.0,650.0,600.0,600.0,666500,-0.0031,0.0117,0.0002,-0.0012,-0.0012,-0.0157,-0.0003,-0.0035,-0.0002,-0.0031,0.3343,-0.0028,0.0001,0.002,-0.0321,-0.0001,-0.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
