Date,Close,High,Low,Open,Volume,PD,DR,EP,CC,RO,NI,YB,XL,SQ,YP,OD,XC,AT,BQ,PC,KK,KI,AZ,DH,CP,LG
2026-08-24,268.0,274.0,262.0,270.0,291600,0.0002,0.0,0.0001,0.0204,0.0,0.0004,0.0023,-0.0365,0.0005,0.0011,-0.01,0.0131,0.0049,-0.0,0.0,0.0004,0.0,0.0,0.0038,0.0,-0.0007
2026-08-26,270.0,270.0,264.0,268.0,123600,0.0001,0.0,-0.0017,-0.0008,0.0,0.0041,-0.0116,0.0053,0.0011,0.0,-0.0,0.0017,0.0,0.0027,0.0,0.0029,0.0,0.0,-0.0041,0.0003,0.0
2026-08-27,272.0,280.0,264.0,270.0,301600,-0.0038,0.0,-0.0003,-0.004,0.0011,0.0001,0.0265,0.0225,-0.0002,0.0016,-0.0029,-0.0338,0.0,-0.0027,0.0,-0.0037,-0.0003,0.0,0.0,0.0,0.0
2026-08-28,270.0,278.0,266.0,270.0,161400,0.0,0.0004,-0.0,0.0086,0.0009,0.0,-0.0168,0.0002,0.0,-0.0002,0.0031,0.0034,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
