Date,Close,High,Low,Open,Volume,AK,BQ,GR,MG,DU,DR,HP,RO,SQ,OD,DH,JB,XC,YJ,KK,AT,LG,PD,AG,EP,AZ,XA,CC,NI,YB,IF,TP,XL,ZP,YP,CP,QA,KI,BK,FZ,PC,LS,DX,ZR,AO,CD,GI,MI,AI
2026-08-24,300.0,300.0,300.0,300.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-25,300.0,300.0,300.0,300.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26,282.0,296.0,264.0,296.0,63069200,0.0555,-0.0169,0.0025,0.0012,0.0,0.0088,0.012,-0.0074,-0.2931,-0.0372,0.0079,0.0,-0.1286,-0.0081,0.0084,0.0212,0.1562,-0.0265,0.2476,0.0173,0.0519,0.0038,1.2,-0.0613,-0.0853,0.0025,0.0125,-0.8787,0.0331,-0.5794,0.2708,0.0044,-0.0012,-0.0004,-0.0,0.0,-0.0077,0.0004,-0.0135,-0.0025,0.0012,0.0001,0.0029,0.0159
2026-08-27,280.0,288.0,276.0,284.0,18177200,0.8272,-0.0006,-0.0197,0.0005,0.0,-0.0081,0.0,-0.0003,-0.7754,-0.0319,0.0047,0.0049,0.0442,0.0278,0.0067,0.0032,0.0011,0.1001,-0.303,0.0103,-0.0147,0.0114,0.1316,-0.0104,0.151,-0.0061,0.0035,-0.2223,0.0545,-0.0203,0.0164,0.0069,-0.0002,0.0112,0.0,-0.0028,-0.0009,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,276.0,286.0,274.0,282.0,10618000,-0.2525,0.005,0.0138,0.0014,0.0001,-0.0018,-0.0139,-0.0009,-0.1031,0.1044,0.001,-0.0049,-0.0698,-0.0013,0.0504,0.0372,0.0004,-0.0165,0.001,0.0022,0.0007,0.0014,0.0375,0.0193,0.0027,0.0003,-0.0088,0.0676,-0.0492,0.1888,0.0056,-0.0021,-0.0142,-0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
