Date,Close,High,Low,Open,Volume,AG,YB,CC,HD,NI,DR,KK,MG,XC,AZ,FZ,GR,LG,PD,TP,IF,DH,XA,SH,RO,YP,AT,DX,XL,CP,HP,BR,AI,KI,SQ,OD,QA,BQ,EP,YJ,IN,ZP,PO,IU,AO,GA,YU,FS
2026-08-24,252.0,260.0,252.0,260.0,36108100,0.0,-0.0153,-0.1554,-0.0023,0.034,0.0005,0.0509,0.9682,-0.8747,0.145,-0.0366,0.1795,0.1953,0.4083,-0.1484,0.0,0.0072,0.0011,-0.1658,-0.0081,0.0489,-0.1031,0.0,-1.3,-0.054,0.0305,0.0,0.0087,0.4916,-0.0431,-0.2753,0.0001,0.026,-0.001,0.2271,0.0,0.0494,0.0,0.26,0.0,0.0504,0.0,0.001
2026-08-26,228.0,228.0,228.0,228.0,20872600,0.0,0.0251,0.2056,0.0,0.0051,0.0,0.0063,-2.2,-0.0677,0.1349,0.0,0.0006,0.0894,0.0869,0.704,0.3381,0.0014,0.0,-0.4895,0.0001,0.1171,0.0,0.0,0.8771,0.0818,0.0397,0.0,0.0,0.1101,0.0244,-0.0677,0.0,0.0166,0.0,0.0228,0.0046,0.0,0.0,-0.2029,0.049,0.0456,0.0,0.0
2026-08-27,250.0,250.0,250.0,250.0,50807000,0.0,0.1476,-1.2,0.0,-0.1261,-0.1259,-0.0187,6.6,-0.7083,0.0085,0.0,-0.6516,-0.13,-0.2651,-0.0152,-0.0361,-0.005,0.07,0.0,-0.0067,-1.1,-0.0006,-0.0026,-4.1,-0.0793,-0.005,0.0025,0.0,0.3185,-0.029,1.3,-0.0059,-0.005,-0.008,-0.225,-0.005,0.125,-0.0,0.25,0.085,0.0,0.0,0.0
2026-08-28,240.0,246.0,240.0,242.0,34665700,0.0726,0.056,0.2695,0.0025,0.0276,0.0022,0.0667,-0.2341,0.1467,0.1236,0.051,0.0484,-0.1326,0.4145,0.1107,0.0002,-0.0228,0.1349,-3.0,-0.0002,0.522,-0.0017,-0.0123,0.8135,-0.0199,0.0444,0.0145,0.0102,0.6496,0.0249,-0.3595,-0.001,0.0903,0.0388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
