Date,Close,High,Low,Open,Volume,PD,GR,CC,YU,XL,YP,SQ,XC
2026-08-24,1995.0,2010.0,1940.0,1980.0,30500,0.0,0.0,0.0035,-0.0001,0.0,-0.0024,-0.0006,-0.0004
2026-08-26,1990.0,2000.0,1965.0,2000.0,5600,0.0,-0.0006,0.0001,-0.0001,0.0006,0.0,0.0,0.0
2026-08-27,1970.0,1970.0,1950.0,1950.0,1700,-0.0002,0.0033,-0.0025,-0.0006,0.0,0.0,0.0,0.0
2026-08-28,2000.0,2000.0,1985.0,1985.0,1000,-0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0
