Date,Close,High,Low,Open,Volume,FZ,PD,DR,CC,NI,TP,XL,YP,XC,KK,EP,OD,YB,SQ,CP
2026-08-24,50.0,50.0,50.0,50.0,75300,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0018,0.0008,0.001,0.0,0.0,0.0,-0.0028,0.0,-0.001
2026-08-26,50.0,50.0,50.0,50.0,89900,-0.0041,0.0001,0.0001,0.0002,0.0,0.0,0.0001,0.0,0.001,0.0001,0.0025,0.0,0.0,0.0,0.0
2026-08-27,50.0,50.0,50.0,50.0,556000,-0.0276,0.0002,0.0,0.0005,0.0,0.0,-0.0001,0.0003,0.0006,0.0,0.026,0.0001,0.0,0.0,0.0
2026-08-28,50.0,50.0,50.0,50.0,167500,-0.0055,0.0003,0.0,0.0001,0.0,0.0,0.003,0.0001,0.0015,0.0005,0.0,0.0,0.0,0.0,0.0
