Date,Close,High,Low,Open,Volume,AD,YB,XL,HD,KZ,KK,JB,ID,BF,YU,DH,IF,FZ,XA,QA,KI,BB,YP,MU,CC,DX,BQ,PD,GR,OD,IN,XC,AK,RB,BR,MG,AT,YJ,DR,PG,HP,GI,AO,LG,NI,SQ,CP,EP,BK,RX,ZP,TP,SS,DU,AI,AF,AH,RO,MI,AZ,AG,CD,BS,SH,GA,PC,SA,ES,OK,IU,PI,TF
2026-08-24,730.0,745.0,700.0,700.0,534003500,0.0,-0.6101,-10.7,0.0,-1.2,-2.1,3.2,-0.3938,0.0,-7.8,1.2,23.2,0.0299,1.7,0.0,-1.7,-8.0,-2.0,-17.3,-3.5,0.5205,-5.5,-0.3991,-2.5,-0.6311,0.0,0.0,38.7,0.0,-0.3602,-6.5,-0.4531,-0.59,0.1037,0.0,0.5304,0.0,0.2243,4.6,3.4,-10.1,-3.5,-0.7519,17.6,0.0,6.0,1.3,3.7,0.0,6.5,0.0,0.0,0.009,0.0,-23.9,-1.0,0.0,0.0001,0.0,0.0,0.0,-0.4315,0.0,0.3556,0.0644,0.3255,0.0037
2026-08-26,720.0,760.0,720.0,740.0,445613200,0.0,-2.5,-16.2,-2.6,0.0,-0.7307,2.5,0.0,0.0,-1.6,-2.2,0.2373,0.3321,-3.4,0.0,0.0,0.1614,5.5,0.0,19.9,0.8202,-0.324,-9.8,-3.1,-4.3,0.0,-1.9,21.3,0.0,-0.4268,-2.5,0.0,0.0,-4.4,0.0721,-2.7,0.0,0.0,2.2,12.8,1.9,0.1959,-2.3,5.3,-0.7074,5.7,-2.0,-7.4,0.0034,0.0,-0.384,0.0,-0.3032,2.8,-3.9,-5.0,0.0169,0.0036,0.0435,0.0711,0.0074,0.0735,0.0202,-0.4075,0.0566,0.0,0.0
2026-08-27,765.0,765.0,710.0,710.0,334913000,0.0,0.4902,-9.9,0.2661,0.5897,-2.0,3.1,0.0,0.0,-0.9371,0.062,0.0,0.009,-0.1219,0.0014,0.1682,0.0,-7.7,0.1775,-29.5,0.0,-0.7958,-3.2,3.6,-1.3,0.0,-5.4,37.6,0.0,1.2,-2.4,0.3203,0.0,-3.5,0.0,-1.6,0.0,0.0576,3.3,-3.5,-4.2,-2.5,-3.3,17.0,0.7118,0.7167,-0.2291,22.3,0.0172,-1.9,0.0824,-0.114,-0.163,-2.9,-1.2,-2.6,-0.1149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,750.0,785.0,745.0,780.0,253908500,-0.0001,0.6337,3.8,-0.1587,-3.8,0.7746,5.6,-0.0722,0.7575,2.9,0.4604,-2.9,-0.0024,0.818,-0.0001,-0.2819,-14.3,1.1,-0.0165,12.3,1.5,0.5978,11.7,4.4,0.7335,-0.0023,3.2,-34.3,-0.077,-1.3,1.2,-0.4,-0.2539,4.8,-0.0001,0.96,-0.0002,2.0,-5.6,1.2,5.0,2.0,0.4685,-9.6,-0.6812,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
