Date,Close,High,Low,Open,Volume,KK,XL,QA,YB,GR,PD,XC,YP,NI,CC,DR,OD,AZ,AG,HP,EP,KI,AI,YU,LG,AT,CP,BQ,MG,RO
2026-08-24,785.0,840.0,740.0,750.0,56800,-0.0004,-0.0166,0.0,0.0,0.0,0.0008,-0.0016,0.0022,-0.0012,0.0128,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0037,0.0002
2026-08-26,800.0,805.0,765.0,785.0,46600,0.0,0.0022,0.0,0.0002,0.0,-0.0001,-0.0054,-0.0058,0.0,0.0009,0.0,-0.0003,0.0,0.0,0.0,-0.0001,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0001,0.0033,0.005
2026-08-27,855.0,995.0,800.0,830.0,435300,0.0003,0.0592,0.0001,-0.0073,0.0,-0.0101,0.0046,-0.0054,0.0056,-0.0445,-0.0036,-0.0001,0.0006,0.0001,-0.0011,-0.0001,-0.0,0.0052,0.0043,-0.0005,0.0174,-0.0004,-0.0,-0.019,-0.0053
2026-08-28,825.0,890.0,810.0,890.0,75100,-0.0004,-0.0136,-0.0001,0.0002,0.0008,0.0037,-0.0009,-0.0009,0.0002,0.004,0.0007,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
