Date,Close,High,Low,Open,Volume,AZ,AG,HP,EP,FZ,ZP,HD,SQ,GR,KI,YP,BR,YU,CC,SH,LG,OD,TP,CP,AT,KK,XL,XA,YB,BQ,PD,XC,DH,BK,AK,YJ,SF,NI,IF,DR,MG,RO,MI,CD,LS,DP,DX,PO,PG,RX,SA,AI,TF,AO
2026-08-24,230.0,232.0,224.0,232.0,73339700,1.1,0.0,-0.0006,0.0608,-0.0003,-6.0,0.0,0.6808,0.5564,-0.0121,0.9298,0.0,0.0556,-0.9406,0.0,0.1193,-0.3793,0.0074,0.0961,0.1265,-0.4387,0.7298,0.0465,0.0828,-0.0804,-0.2049,0.3324,1.5,-0.7488,-1.3,0.2316,0.0,0.1194,-0.0978,0.06,-0.0451,-0.0151,0.0,0.0,0.0226,0.9803,0.0,1.1,0.2518,0.8926,0.1725,0.0746,-0.0021,-0.0003
2026-08-26,226.0,230.0,226.0,228.0,17977500,-0.3019,0.0,-0.0009,-0.1383,-0.0002,-0.0119,-0.0002,1.4,0.0022,-0.0045,-0.0168,0.0,-0.2257,0.0013,0.0,-0.0516,-0.0667,0.0114,-0.0036,0.0005,0.0093,-0.523,-0.0494,0.0093,-0.0228,-0.0838,-0.0397,0.0549,-0.1213,-0.7028,0.003,0.0,-0.1192,0.0,0.0151,0.0012,-0.0,0.0,0.0,0.0588,0.9576,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-27,228.0,230.0,224.0,224.0,6938900,-0.022,0.0,0.0,-0.0462,0.0,-0.0182,-0.0,0.1043,0.0286,-0.0176,0.6176,0.0,-0.055,-0.0861,0.0,0.0,0.0012,-0.0023,-0.023,-0.0,0.0012,0.0651,-0.0005,-0.0004,-0.0046,-0.0783,-0.0373,-0.0202,-0.1627,-0.0101,0.0,-0.227,-0.0053,0.0,0.0017,-0.0033,-0.0032,0.0025,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,228.0,230.0,226.0,230.0,11669400,0.0047,0.0127,-0.0021,0.0578,-0.046,0.2395,0.0027,0.0405,-0.021,0.0001,0.4834,-0.0228,0.0147,-0.066,0.0228,0.0001,0.0979,-0.0096,0.0003,-0.0002,-0.0294,-0.1799,-0.8554,0.0021,0.0114,0.115,-0.0098,0.2518,-0.076,-0.0352,-0.0011,0.0023,-0.0059,-0.0022,0.0005,0.001,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
