Date,Close,High,Low,Open,Volume,AK,TP,YB,XL,KK,DR,HP,LG,DH,QA,NI,AI,KI,ZP,AZ,YP,SQ,CP,CC,EP,CD,BQ,PD,GR,OD,BK,RO,XC,LS,YU,XA,DX,BR,MG,AT,GI,AG,YJ,PO,RG,IF
2026-08-24,73.0,76.0,73.0,75.0,8049500,-0.0029,-200.0,0.0918,0.0253,-0.0028,-0.0103,0.0,0.0,0.0,0.0001,-0.0633,0.0,0.0,0.0,0.0015,-0.0063,0.0019,0.0105,-0.0476,0.0074,-0.0001,0.0209,-0.0052,-0.0001,-0.0387,-0.0067,0.0,0.0101,0.0,0.011,0.0037,-200.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,-0.0004,0.0001
2026-08-26,65.0,74.0,65.0,73.0,21650100,-0.0986,0.0066,-0.1809,0.1708,-0.0143,0.0101,-0.0108,-0.0021,0.0008,0.0003,0.0171,0.0,0.0005,0.0,-0.011,0.0177,0.0854,0.0551,-0.0245,-0.0543,0.0,0.002,-0.0103,-0.0184,0.0224,-0.0241,-0.0009,-0.0084,0.0,-0.0116,0.014,0.0001,0.0594,-0.0061,0.012,0.0,-0.0002,-0.0001,0.0024,0.0,0.0
2026-08-27,72.0,75.0,65.0,66.0,73448100,-0.0303,-0.007,-0.0569,0.1924,-0.0282,-0.033,0.0,-0.0062,-0.0,0.0018,0.0076,-0.0001,0.0753,0.0,-0.0099,-0.0624,-0.0383,-0.0459,-0.0148,0.0177,0.0,-0.0077,0.0207,0.0208,0.0011,0.0176,-0.0001,0.0362,-0.0001,-0.0001,-0.0151,-0.0,-0.015,0.0011,-0.0211,900.0,-100.0,0.0,0.0,0.0,0.0
2026-08-28,71.0,73.0,69.0,71.0,11116500,-0.0002,0.0,-0.0027,0.0009,-0.0005,-0.0112,-0.0001,0.0,-0.0003,-0.0015,-0.0166,0.008,0.036,-0.0011,0.0173,0.0134,0.0046,0.0172,-0.0189,-0.0318,0.0001,0.0043,0.004,0.0005,0.0003,-0.0454,0.0,0.0238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
