Date,Close,High,Low,Open,Volume,DR,GR,MG,PG,HP,RO,SQ,OD,RS,YJ,JB,KK,YU,AT,BR,LG,PD,AZ,EP,XA,CC,NI,BB,IF,XL,ZP,CD,DP,KI,AK,BQ,DH,XC,AD,AG,MI,RB,KZ,BS,YB,AI,TP,YP,HD,PO,IT,CP,QA,DX,BK,AR,MU,LS,OK,SH,IU,FZ,AO,ES,ZR,RF,PC,RG
2026-08-24,4790.0,4800.0,4730.0,4800.0,35455200,-1.1,1.5,0.133,0.0,0.0,0.0303,3.6,-1.7,-0.0006,6.1,0.0,3.5,-20.6,0.0198,0.0,-5.0,1.5,-8.7,0.6749,-0.1683,-1.1,-2.3,-5.6,-0.1111,9.5,-3.3,-0.0436,0.0,0.0882,38.6,-2.1,0.3262,1.3,0.0,0.0305,0.0,-0.0038,-18.7,0.0616,0.2941,-3.3,2.8,3.2,-0.7228,0.0,0.187,-1.8,0.0,-0.0327,2.4,0.0,0.0,0.0,0.0,0.0105,0.0,0.0,0.0,0.3538,-0.004,0.0119,0.1013,-0.0002
2026-08-26,4780.0,4810.0,4740.0,4800.0,47671400,-0.5382,0.2566,-0.4174,0.0,0.0,0.0262,-4.9,-0.858,0.0,-4.9,0.0,-0.0445,-61.4,0.0005,0.0,0.0,-1.7,-1.6,0.0,-0.1777,-8.8,-0.1696,19.4,-0.1804,-3.7,-2.0,2.2,-2.1,-0.0577,48.7,-0.4021,0.0317,-1.2,0.0,0.3535,-2.8,0.0048,50.7,0.0,-0.5009,2.1,-1.2,-16.8,0.3368,0.0,0.2853,-2.6,0.0024,1.2,-10.7,0.1904,0.0109,0.0019,0.0,0.0024,0.0,3.8,0.001,0.3787,0.0,0.0,0.0,0.0
2026-08-27,4790.0,4810.0,4740.0,4780.0,37802400,0.8504,0.2847,3.1,0.0,0.0,0.0,3.3,-8.6,0.0,-0.0105,-0.0013,1.3,-4.4,-0.0095,0.0,0.0,2.2,0.0,0.2617,0.1715,12.1,2.6,-0.3966,0.0357,2.1,-17.3,0.0459,0.0,0.0,-10.2,-6.2,-0.6058,1.0,0.0,-0.0077,0.0,0.0,5.9,0.2385,0.4035,-0.001,1.3,3.1,1.3,0.0,0.0,0.0665,0.0,0.1003,-1.0,0.0717,-0.0005,-0.0,0.071,6.7,-0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,4800.0,4860.0,4760.0,4790.0,53631000,13.7,0.8387,-1.0,-0.0726,-0.0125,-0.035,-1.8,-13.1,-0.0966,0.4957,-0.0038,1.7,-1.3,-0.0064,0.0144,9.9,0.7297,0.4605,0.8893,0.0043,23.5,1.6,-2.4,-0.5222,11.6,-19.1,-0.3231,3.0,-0.0102,-22.3,-0.3356,0.6834,-1.2,0.0716,-0.0179,0.0048,0.0024,2.4,-0.0243,0.5031,-1.3,1.1,3.4,-1.1,-0.0477,0.263,1.4,0.0033,-0.8012,-11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
