Date,Close,High,Low,Open,Volume,CC,XL,CP,XC,GR,OD,PD,ZP,EP,DH,XA,RO,YP,NI,PC,IF,YU,SQ,AG,KI
2026-08-24,190.0,192.0,190.0,192.0,94500,-0.0048,0.0005,0.0004,0.0003,-0.0019,0.0,0.0019,0.0,0.0,-0.0004,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0
2026-08-26,190.0,194.0,190.0,191.0,61200,0.0004,-0.0024,0.0017,-0.001,0.0,0.0,0.0011,0.0,0.0,0.0,0.0019,0.0,0.0002,-0.0004,0.0,0.0,-0.0024,0.001,0.0,0.0
2026-08-27,192.0,192.0,188.0,192.0,190400,-0.0001,0.0046,0.0015,0.0,-0.0038,0.0,0.0009,-0.002,0.0,-0.0009,0.005,-0.0001,0.0003,0.0,-0.0,-0.0054,0.0,0.0,0.0,0.0
2026-08-28,192.0,195.0,189.0,189.0,187300,0.0007,-0.0062,0.0021,-0.0001,-0.0,-0.0,-0.0016,-0.0131,-0.0001,-0.0,0.0182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
