Date,Close,High,Low,Open,Volume,TP,SF,YB,XL,HD,LS,KK,SH,DH,YU,FZ,DU,AI,XA,QA,IF,KI,ZP,YP,CC,DX,BQ,PD,GR,OD,XC,AK,ES,MG,AT,DR,HP,GI,AO,IH,LG,NI,AZ,CP,EP,AG,CD,BK,RO,SQ,JB,PC,RB,PG,IU
2026-08-24,167.0,167.0,167.0,167.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-25,167.0,167.0,167.0,167.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26,156.0,195.0,142.0,162.0,236843500,0.0214,0.0,-0.0275,1.3,-0.5614,-0.0,-0.1363,-0.0008,0.2774,-0.0988,0.0193,-100.0,-0.0001,0.5875,0.0036,-0.0077,-0.0494,0.0484,0.0686,-0.0428,0.0069,-0.091,0.1393,0.0011,0.079,0.8241,0.0415,0.0,-0.6961,0.0076,-0.1442,-0.0021,0.0,0.0,0.0,-0.1482,-0.4406,0.023,-0.7582,0.0014,-0.0525,0.0037,-0.1083,0.0001,-0.0924,-0.0039,0.0001,-0.0335,-0.0007,0.0002
2026-08-27,183.0,193.0,149.0,161.0,161840200,-0.0226,-0.0,0.0737,0.7744,0.1214,-0.0006,0.03,-0.0057,-0.0622,0.0052,0.1892,0.0012,0.0045,0.0276,-0.0032,-0.003,-0.2275,-0.0643,-0.1751,-1.3,0.0025,-0.0118,-0.0004,-0.0104,-0.0297,-0.268,0.1026,0.0,0.9059,-0.0118,0.0163,-0.0407,-0.0002,0.0018,-0.0001,0.0215,-0.1147,0.0112,0.4348,0.0016,-0.04,-0.0036,-0.3319,-0.0005,0.0046,0.0,0.0,0.0,0.0,0.0
