Date,Close,High,Low,Open,Volume,ES,YB,MG,XL,KK,DR,IF,NI,AI,YP,AZ,SQ,PC,CP,CC,EP,AR,DX,BQ,PD,XC,OD,ZP,AT,YJ,IH,RO,TP,GR
2026-08-24,198.0,204.0,196.0,199.0,857300,0.0,0.0,0.0,-0.0156,0.0014,0.0,0.0,0.0,0.0512,0.0392,0.0003,0.0,-0.0049,-0.0757,0.0385,-0.0008,0.0,0.0,0.0,0.0021,0.0031,0.0,0.0,-0.0016,-0.037,0.0,0.0,0.0,0.0
2026-08-26,192.0,200.0,192.0,198.0,964200,0.0,-0.0369,-0.0482,0.0866,0.0007,0.0,0.0,-0.0019,0.0305,0.0068,0.0,0.0097,-0.0084,0.0151,0.0019,0.0,0.0,0.0,0.0021,-0.008,-0.0013,0.0,-0.0005,0.0,0.0,-0.0296,0.0,0.0004,-0.0191
2026-08-27,195.0,199.0,192.0,193.0,561900,0.0,-0.001,-0.0025,0.0015,-0.001,0.0,0.0,0.0,0.0247,-0.0001,0.0008,0.0,-0.0039,0.0157,-0.0178,0.0,0.0,0.0098,0.0008,-0.0014,0.0005,0.001,-0.0,0.0293,-0.0506,-0.0077,0.002,0.0,0.0
2026-08-28,200.0,202.0,195.0,197.0,1152100,0.0003,0.0716,-0.0067,-0.0036,-0.005,0.0,0.0006,0.0058,0.0359,0.0002,0.0001,-0.0001,-0.0059,-0.0122,0.0022,0.0,-0.0367,-0.068,0.0,0.0191,-0.0006,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
