Date,Close,High,Low,Open,Volume,CP,AZ,PC,AG,XL,ZP,BQ,PD,YP,CC,DU,LG,XC,DH,AI,QA
2026-08-24,1180.0,1190.0,1180.0,1185.0,30600,0.0,-0.0015,0.0,-0.0087,0.0001,-0.0084,0.023,0.0004,0.0056,0.0047,-0.015,0.0,0.0005,0.0,0.0,-0.0007
2026-08-26,1170.0,1185.0,1170.0,1185.0,58500,0.0,-0.0006,-0.0014,-0.0069,0.0096,-0.0306,0.0232,-0.0004,0.0008,0.0118,-0.0057,0.0,0.0001,0.0,0.0,0.0
2026-08-27,1175.0,1175.0,1155.0,1170.0,42900,0.0048,0.0012,0.0011,-0.0097,-0.0049,-0.0081,0.024,-0.0073,-0.0189,0.0049,0.0128,0.0,-0.0008,0.001,-0.0001,0.0
2026-08-28,1185.0,1185.0,1180.0,1180.0,36700,0.0116,0.0023,0.0063,-0.0164,-0.0014,-0.0076,0.0151,-0.0002,0.0032,-0.0007,-0.0161,0.004,0.0,0.0,0.0,0.0
