Date,Close,High,Low,Open,Volume,YU,CD,MG,YB,AG,HD,LG,DR,KK,CC,XC,NI,LS,GR,BK,BB,TF,PD,TP,ZP,IF,DH,YP,AT,SS,XL,DX,CP,OD,HP,QA,SQ,KI,AF,DD,AK,EP,PG,RO,AI,BQ,YJ,KZ,RB,RG,RF,AZ
2026-08-24,5675.0,5675.0,5500.0,5525.0,1677100,0.0158,0.004,0.0,-0.0458,0.0,0.0315,-0.0284,-0.0235,0.0091,-1.2,-0.0276,-0.1074,0.0,-0.0096,0.2405,1.5,-0.0023,-0.1496,-0.0929,0.6305,0.0,-0.2346,-0.1907,-0.0588,-0.2838,-0.1303,-2.0,-0.2721,0.0058,0.0,0.0,-0.1073,0.0011,-0.1034,0.0,2.7,-0.0057,0.0,-0.005,-0.0,-0.0552,-0.028,0.0,0.0,0.0,-0.0565,0.098
2026-08-26,5500.0,5675.0,5500.0,5675.0,2622500,-1.6,0.0,0.0055,0.0993,0.0022,-0.0312,-0.6861,0.0657,-0.7523,-0.6794,-0.0905,-0.0323,-0.01,-0.0307,-0.5493,-1.1,0.0039,-0.157,0.033,0.7885,0.0,-0.1032,0.1556,0.0494,0.0,-0.3004,-1.9,-0.0309,0.0357,0.0055,0.0,0.0866,0.0,0.0,0.0,6.6,0.1291,0.0,0.0,0.0,-0.0022,0.0017,0.0556,-0.0193,-0.0017,-0.0022,0.0
2026-08-27,5600.0,5600.0,5450.0,5475.0,1180000,0.1948,0.0039,0.0,-0.139,-0.0022,0.0049,0.0939,0.0076,-0.4362,0.7888,-0.0165,0.0499,0.0005,-0.2505,-0.5644,-0.2241,0.0,-0.1984,0.0,0.6294,0.0,-0.0018,0.0244,-0.0169,0.0,0.349,-1.9,0.292,-0.0122,0.0094,0.0,-0.0247,0.0,0.0983,0.0,1.3,-0.0302,-0.0028,0.006,0.0111,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,5475.0,5600.0,5400.0,5600.0,2993700,0.0347,-0.0126,0.0277,0.024,0.0022,0.0088,0.0457,0.0299,0.1162,-0.6788,0.3101,-0.028,-0.0104,-0.0367,-0.2588,-0.2718,0.0016,0.0522,0.0054,-0.1719,0.0005,-0.0011,0.2349,-0.055,0.0027,0.8396,-6.4,-0.0408,0.0603,0.0206,0.0005,0.0698,0.0119,0.0497,0.0077,6.0,0.0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
