Date,Close,High,Low,Open,Volume,SF,MG,XL,KK,DH,PI,IU,NI,AZ,YP,PC,CP,CC,EP,BQ,PD,XC,OD,RO,SQ,QA,GR,YB,DR,HP,LG
2026-08-24,605.0,645.0,600.0,640.0,430500,0.0,0.0001,0.0572,0.0,-0.1693,0.0206,0.0139,0.0,0.0082,0.035,0.0,0.0016,0.0094,0.0,0.0005,-0.005,0.0113,-0.0004,0.0168,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-26,595.0,630.0,595.0,610.0,342400,0.0,0.0002,0.0557,0.0,-0.0945,0.0053,-0.004,-0.0002,0.0031,0.0,0.01,-0.0007,-0.0044,0.0,-0.0005,0.0062,0.0126,-0.0046,0.0037,0.0098,0.0013,0.0,-0.0001,0.003,-0.0018,0.0001
2026-08-27,600.0,620.0,595.0,595.0,211200,0.0,0.0001,0.0232,0.0,-0.0564,0.0236,-0.0011,0.0006,0.0015,500.0,-0.0067,0.0,0.0,0.0,0.0001,0.0005,0.0152,-0.0047,0.0,0.0,0.0037,0.0006,0.0,0.0,0.0,0.0
2026-08-28,590.0,615.0,590.0,610.0,527400,-0.0008,0.0002,-0.0234,0.0001,-0.044,-0.0167,-0.0025,0.0001,0.0052,0.0047,0.013,0.0005,0.0052,0.001,-0.0001,0.0008,0.0442,-0.0006,0.0097,0.0036,0.0,0.0,0.0,0.0,0.0,0.0
