Date,Close,High,Low,Open,Volume,TP,YB,XL,KK,DR,AO,LG,DH,IF,QA,NI,KI,AZ,YP,SQ,PC,CP,TF,MU,CC,EP,DX,AG,BQ,PD,GR,OD,RO,XC,RB,MG,YJ,ID,HP,DU,XA,ZP,AK,BR,AT,HD,GI,IH,EL,YU,IU
2026-08-24,50.0,51.0,50.0,50.0,32702400,-0.1443,-0.0269,0.3479,0.0943,0.0035,0.0,-0.0001,0.0128,0.0,0.0001,0.0039,0.0002,0.0002,0.0609,0.0181,0.0,0.0532,0.0,0.0005,-0.07,0.0007,0.0,0.0,0.0008,-0.1811,0.0074,0.0542,0.0015,-0.0202,0.0,0.0,0.0005,0.0,0.0025,0.0,-0.0095,-0.0017,0.0018,0.0,0.021,0.0004,-0.0,0.0,0.0061,0.012,-0.2505
2026-08-26,50.0,51.0,50.0,50.0,17403100,-0.0005,-0.0008,-0.0762,-0.0043,0.0025,0.0,-0.0012,0.0062,0.0,-0.0,-0.0293,0.0001,0.0049,-0.0087,0.0009,0.0,-0.1445,0.0,-0.1,0.019,-0.0071,0.0001,0.0,0.0003,0.2403,-0.007,-0.044,0.0001,0.1461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017,-0.001,0.003,0.0001,0.0,0.0025,0.0,0.0,0.0
2026-08-27,50.0,50.0,50.0,50.0,10586600,0.0,0.0,0.0581,0.0005,0.0025,0.05,0.0004,0.0,0.001,0.0,-0.0082,0.0,0.0251,-0.0118,0.05,0.025,0.0293,0.0,0.0,0.0081,0.0282,0.0005,0.0,0.0008,-0.007,-0.0002,-0.1981,0.0006,0.0089,0.001,-0.0165,0.0015,0.025,-0.15,0.075,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,50.0,51.0,50.0,50.0,12381600,-0.0046,0.0016,-0.0173,0.0057,0.0025,-0.1,-0.0015,-0.0001,0.0003,-0.001,-0.0208,0.0,0.0005,-0.0516,-0.0005,0.0001,0.0018,-0.0,-0.15,-0.025,0.0001,0.0001,-0.0004,0.0003,0.3967,-0.0009,-0.0445,0.0001,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
