Date,Close,High,Low,Open,Volume,XC,PD,YP,XL,CC,LG,OD,KK,AK,AO
2026-08-24,510.0,520.0,510.0,520.0,9300,0.0,0.0004,0.0036,-0.0041,0.0001,0.0,-0.0001,0.0,0.0,0.0001
2026-08-26,515.0,515.0,515.0,515.0,6900,0.0,-0.0029,0.0022,0.0003,0.0,0.0006,0.0,0.0,-0.0001,0.0
2026-08-27,515.0,520.0,515.0,520.0,1200,0.0,-0.0001,0.0003,-0.0001,0.0,0.0,0.0,-0.0001,0.0,0.0
2026-08-28,525.0,525.0,515.0,520.0,6500,0.0002,-0.0003,0.002,-0.0006,0.0001,-0.0009,-0.0005,0.0,0.0,0.0
