Date,Close,High,Low,Open,Volume,MG,XL,AT,KK,DR,HP,DH,IF,NI,XA,ZP,YP,AZ,CP,CC,PD,XC,OD,SQ,QA,YB,BQ,LG,GR
2026-08-24,254.0,264.0,250.0,254.0,377100,0.0,0.0174,-0.0,0.0189,0.0003,0.0,0.0,0.0,-0.0038,0.0,0.0,0.0058,0.0,0.0001,-0.0457,-0.0089,0.0048,0.0005,-0.0014,0.0011,0.0009,0.0,0.0,0.01
2026-08-26,252.0,258.0,248.0,258.0,138300,0.0,-0.0175,0.0,0.0,-0.0001,0.0,0.0,0.0,-0.0,0.0,0.0,0.007,0.0,0.0,0.0033,0.0081,-0.0005,0.0,0.0003,-0.0012,0.0005,-0.0001,0.0001,0.0
2026-08-27,252.0,254.0,248.0,252.0,172600,0.0,-0.004,0.0,0.009,-0.0006,0.0,0.0,0.0,0.0001,0.0,0.0,0.0014,0.0003,0.0025,-0.0131,0.0038,-0.0002,0.0,0.0008,0.0,0.0,0.0,0.0,0.0
2026-08-28,258.0,268.0,252.0,254.0,450300,0.0042,0.0016,0.0001,0.0026,-0.0001,0.0008,0.0026,0.0006,-0.0001,0.0052,-0.0026,0.0157,0.0001,0.0074,-0.0333,-0.0037,-0.0001,-0.0,-0.0008,0.0,0.0,0.0,0.0,0.0
