Date,Close,High,Low,Open,Volume,AK,TP,YB,MG,AT,HD,XL,LS,KK,FS,RG,DR,LG,DH,YU,IF,NI,DU,XA,ZP,BB,YP,SQ,CP,CC,EP,DX,AG,BQ,PD,GR,OD,RO,XC,JB,HP,IT,QA,KI,AZ,PC,TF,SF,FZ,YJ
2026-08-24,520.0,520.0,515.0,520.0,5343800,-0.0445,0.0001,0.0,0.0,-0.0005,0.0,0.3544,0.0,-0.0109,0.0,-0.0001,-0.0067,0.0007,0.0071,0.0,0.0,0.0028,0.0,0.0002,-0.3315,0.1683,0.0052,0.0046,0.0013,-0.273,-0.0125,-0.002,0.0003,0.0172,-0.1861,0.0014,0.2029,0.0018,0.1013,0.0011,0.0,0.0,0.0,0.0,-0.0002,0.0001,0.0,0.0,0.0,-0.0026
2026-08-26,520.0,520.0,515.0,520.0,4757600,-0.0989,0.0047,-0.002,0.0,-0.005,0.0004,-0.6761,0.0,0.0132,0.0,0.0,-0.0087,0.0007,0.534,-0.0001,0.0,-0.0049,0.0,0.0,-0.0912,0.1512,-0.1736,0.0905,0.5429,-0.104,0.0388,-0.0051,-0.0001,0.0001,-0.0063,-0.0028,-0.2315,0.0004,0.0309,0.0001,0.0,0.0,500.0,0.0003,0.0001,0.0,0.0,0.0003,0.002,0.0
2026-08-27,520.0,520.0,515.0,520.0,4774300,-0.1088,0.002,-0.1041,0.0,0.0039,0.0,0.3459,0.001,0.0405,0.0,0.0,0.0025,0.0803,0.0009,0.0,0.0,0.0105,0.0,0.0527,-0.2281,0.1463,-0.3263,0.0706,-0.5478,0.0327,-0.0105,-0.0001,0.0003,0.0036,0.5214,0.0001,0.012,0.0014,0.004,0.0001,-0.0206,0.019,-0.0003,-0.0058,0.0007,0.0001,0.0001,0.0,0.0,0.0
2026-08-28,520.0,525.0,515.0,520.0,3229700,-0.0795,0.0001,-0.037,0.0013,-0.0054,0.0012,-0.5523,0.003,-0.1027,0.0006,0.0001,0.0005,0.0024,0.0141,-0.0016,-0.02,0.0241,-0.0337,0.2109,-0.142,0.0876,0.1773,0.0474,0.0005,0.0602,-0.0032,0.0135,-0.0002,0.0001,0.1636,0.0053,0.0191,-0.0039,0.1487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
