Date,Close,High,Low,Open,Volume,MG,CC,HD,NI,DR,LG,KK,XC,AZ,GI,PD,TP,DH,AH,XA,RO,AO,YP,AT,XL,OD,QA,HP,SQ,KI,ZP,AK,EP,YB,GR,PC,DX,AI,BQ,YU,CD,AG,CP,MI,AR,YJ,ZR
2026-08-24,292.0,294.0,280.0,284.0,4474200,-0.0013,0.2288,0.0002,0.0069,-0.0162,-0.0015,0.0266,-0.0186,-0.0006,0.0,-0.0373,-0.0158,-0.0045,0.0,0.0233,-0.0034,0.0,0.0419,0.0229,-0.3334,0.0411,-0.0009,0.0001,-0.0019,0.0,0.0,0.0,0.0425,-0.0075,-0.0013,0.0,-0.0056,-0.0003,0.0002,0.0,0.0,0.0003,-0.0258,0.0,-0.0,0.0417,-0.0006
2026-08-26,282.0,294.0,280.0,292.0,3251000,0.0072,0.0496,0.0016,0.026,-0.0037,-0.0,0.0214,0.0069,-0.0016,0.0,-0.2153,0.0,0.0,-0.3335,0.0293,-0.0,0.0001,0.0698,0.0032,0.1707,0.0295,-0.0006,0.0001,0.0178,0.0,0.0001,0.0,0.005,0.0006,0.0141,0.0007,0.0,0.002,-0.0008,0.0864,0.0028,-0.0,0.0056,0.005,0.0,0.0,0.0
2026-08-27,278.0,282.0,272.0,282.0,5169500,0.0317,0.0934,-0.0017,0.0177,0.0139,0.0016,-0.0468,0.0963,0.0,0.0,0.0584,0.0,0.0056,-1.1,0.0004,0.0022,0.003,0.1019,0.0034,0.5724,0.0271,0.0009,-0.0002,0.007,0.0,0.0098,0.0,0.0027,0.0012,0.0183,0.003,0.0003,0.0102,0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,278.0,284.0,278.0,280.0,2847700,-0.0274,0.018,0.0008,-0.0084,0.0001,-0.0003,-0.0043,-0.0087,0.0001,200.0,-0.0153,-0.0001,0.0009,-0.4197,0.0029,0.0007,0.0001,0.0222,-0.0216,-0.0628,-0.0161,0.0157,-0.0028,0.4781,0.0011,-0.0099,0.0537,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
