Date,Close,High,Low,Open,Volume,FZ,DR,GR,MG,HP,RO,AO,SQ,OD,MU,YJ,KK,YU,AT,PF,LG,PD,AZ,EP,XA,CC,NI,ID,IF,XL,ZP,CD,KI,AK,BQ,PC,DH,SH,XC,AD,IN,AG,MI,AI,YB,IU,HD,YP,CP,QA,BK,DU,TP,SF,AR,SA,EL
2026-08-24,240.0,250.0,232.0,238.0,28863400,0.0005,0.1196,0.1667,0.5221,0.0152,0.0228,0.0011,-0.014,0.017,0.1656,0.0,-0.0233,-0.0104,0.0,0.0,-0.096,0.0594,0.0037,-0.0533,0.0997,0.0098,0.1911,-0.2544,0.0017,0.9509,0.6301,0.0,0.0005,-0.2434,-0.0343,-0.051,-0.0076,-0.0671,-0.0074,0.0,0.0368,0.0,-0.2644,-0.0001,-0.4687,-0.5117,0.0366,-0.0684,-0.512,0.0,0.0,0.0,-0.0573,0.0,0.0002,-0.118,-0.1884
2026-08-26,222.0,258.0,222.0,240.0,65180500,0.0061,-0.1676,0.0848,-0.5973,0.0299,-0.0236,-0.4108,0.0125,0.0116,0.2042,-0.0,0.3117,-0.0266,0.0,0.0,0.0063,0.1315,0.2217,0.0621,0.0284,-0.163,-1.4,0.0018,-0.0041,1.1,0.0474,0.0,0.0503,0.0202,0.3366,-0.0314,0.1647,0.0819,0.1483,0.0,0.0138,-0.0121,0.0,-0.0339,-0.2989,-0.1093,0.0038,0.0155,0.2319,0.0,-0.0,0.0,-0.0012,0.0,0.0,0.0,0.0
2026-08-27,238.0,242.0,224.0,226.0,16674700,0.0,0.0259,-0.0114,-0.1052,-0.0294,-0.0,0.0,-0.0033,0.0219,0.0367,-0.0,-0.0078,-0.0508,-0.0013,0.0,0.0039,-0.0222,-0.0938,-0.0574,-0.079,-0.1337,-0.0148,-0.0048,0.0268,-0.0372,0.0195,0.0,0.2746,-0.0322,-0.0017,0.0265,-0.0001,0.0,0.2228,0.0,-0.0023,0.0948,0.0,-0.0023,0.1308,-0.0238,0.0,-0.1787,0.0043,-0.0,0.0049,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,248.0,288.0,236.0,242.0,56016500,0.0039,0.0276,0.0817,-0.0309,0.0449,0.0017,0.0043,0.0321,-1.0,0.1065,-0.0958,0.5431,0.0167,0.0013,0.0012,0.0547,-0.1457,0.1874,-0.0175,-0.1494,-0.7586,0.2739,-0.0049,-0.0187,0.5545,0.0357,0.0013,-0.1108,1.1,-0.2475,-0.0879,0.0159,0.02,-0.4462,-0.0,-0.026,-0.0003,-0.0049,-0.0093,-0.0072,0.0004,0.0011,-0.0255,0.1171,0.0151,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0
