Date,Close,High,Low,Open,Volume,PD,CC,YP,DR,KK,XC,XL,BQ,IF,SQ,NI
2026-08-24,50.0,50.0,50.0,50.0,71400,0.0,0.0,0.0,0.0,-0.0019,0.0,0.0017,0.0,0.0001,0.0,0.0
2026-08-26,50.0,50.0,50.0,50.0,119400,0.0,0.0,0.0,0.0,0.0,-0.0051,0.0046,0.0,0.0,0.0005,0.0001
2026-08-27,50.0,50.0,50.0,50.0,8700,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0002,0.0,0.0
2026-08-28,50.0,50.0,50.0,50.0,126500,0.0,0.0,0.0,0.0055,0.0,0.0006,-0.0061,0.0,0.0,0.0,0.0
