Date,Close,High,Low,Open,Volume,AK,DR,MG,GR,PC,BQ,RO,SQ,OD,DH,PI,XC,YJ,KK,AT,BR,LG,PD,AG,EP,AZ,XA,CC,NI,YB,TP,XL,ZP,YP,HD,PO,CP,QA,DX,HP,YU,DP,RG,KZ,KI
2026-08-24,61.0,62.0,60.0,61.0,7663200,0.0004,0.0061,0.0041,-0.0001,0.0,0.0,0.0009,-0.0616,-0.0018,0.004,0.0103,0.0068,0.0634,0.0031,0.0,-0.3599,0.0,0.0098,0.0,0.0007,0.0,0.1494,0.0054,0.0583,0.0122,0.0,0.0451,0.0,-0.0017,0.0427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,-0.0008,-0.0
2026-08-26,60.0,62.0,58.0,61.0,18469000,0.0265,0.0001,0.0006,0.0,0.0,-0.0003,0.0018,0.0017,-0.0027,0.0019,-0.0055,0.0134,0.0324,0.0234,0.0,-0.3063,0.005,-0.0052,0.0,-0.0008,0.0,0.0794,0.0053,-0.0174,0.0115,0.0005,-0.0046,0.0,-0.4145,-0.0323,0.0,0.003,0.0,0.0,-0.0291,0.009,0.6033,0.0,0.0,0.0
2026-08-27,60.0,61.0,59.0,60.0,1205400,-0.0002,0.0007,0.0,-0.015,0.0,0.0,0.0,-0.0044,-0.0,0.0099,-0.0006,0.0003,0.0,0.0004,0.0,0.0,0.0,0.0111,0.0,0.0,0.0,0.0238,0.0,0.0093,0.0,0.0,-0.0045,0.0,-0.0008,-0.024,0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0
2026-08-28,61.0,63.0,59.0,60.0,20811100,-0.0004,-0.0102,0.0668,0.0021,0.0,-0.0003,-0.0,-0.0163,0.0017,-0.0504,-0.0005,0.0332,-0.0013,0.017,0.0153,-0.3724,-0.0118,0.0315,0.0063,0.0093,-0.0,0.0608,0.0545,-0.0093,-0.0071,0.0015,0.0872,0.0128,0.0929,-0.0235,-0.0001,0.0042,-0.0,0.0064,0.0,0.0,0.0,0.0,0.0,0.0
