Date,Close,High,Low,Open,Volume,AG,HP,QA,RG,GR,LS,YP,BR,LG,OD,MI,IH,CP,XA,PD,DH,AK,BK,NI,CC,GA,RO,AZ,ES,FZ,ZP,HD,SQ,AI,YU,AT,TP,KK,XL,ZR,YB,DX,GI,BQ,XC,YJ,AO,IF,DR,MG,KZ,IU,YO,FS,RF,EP,SA,PF,RS,TF,IN,TS,PG,KI,BB,CD,PC,RB
2026-08-24,835.0,855.0,835.0,850.0,28272700,0.0784,0.0644,-0.0046,0.0,0.2853,0.0,0.1783,-0.0003,0.1619,1.0,0.0,0.0,-0.1078,-0.0196,-1.5,0.2788,-1.8,-0.0004,0.6998,0.4052,0.0,0.1549,0.2275,0.0,-0.1606,0.0,0.0,0.4865,-0.1273,0.0744,0.1027,-0.092,0.1391,0.4988,0.1033,-0.0031,0.1041,0.0,0.4755,0.9866,0.0,-0.0621,0.0,0.5863,-0.0153,0.0,-0.1504,0.0,-3.4,0.0,0.0783,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0674,0.0,0.0434,-0.0023,-0.0004
2026-08-26,800.0,840.0,800.0,835.0,59778500,0.0,1.0,0.0,0.0,1.8,0.0141,-1.9,-0.0002,-0.4388,4.5,0.2369,0.0,-1.2,0.1552,0.5901,0.1056,-0.6614,-0.921,-0.6414,2.6,0.0,0.0318,-0.988,0.0,0.0,0.2125,0.1353,0.5371,0.1091,-0.1689,0.0996,0.4669,0.1702,-0.114,0.0298,-0.5411,-0.2351,0.0,0.2693,1.1,0.0948,-0.0142,-2.0,-0.5381,-0.5828,0.0,0.0,0.0125,-0.0172,-1.6,-0.4919,0.0,0.0,0.0,0.0,0.0,0.82,0.0201,-0.0165,-2.4,0.1274,0.0,0.0
2026-08-27,825.0,840.0,785.0,790.0,102324000,0.5616,0.0,0.0,0.0,0.8095,-0.0473,-0.7681,0.0333,-0.415,-0.1042,0.0,-0.0164,1.4,0.629,-0.388,-0.428,3.4,0.0831,0.5894,2.2,0.0,0.01,1.4,0.0025,0.048,3.1,0.1118,0.8852,-0.8182,-3.0,-0.0484,-0.0223,-0.0836,7.5,0.4107,-0.1472,-10.0,0.0,0.7372,-3.1,0.065,-0.0436,-2.4,-0.086,0.1059,0.0381,-0.0083,-0.0125,-0.8168,-1.6,0.2076,-0.0082,-0.0085,-0.0084,0.0091,0.0825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,810.0,830.0,805.0,825.0,44065400,-0.1433,0.1068,-0.0003,-0.0012,0.9613,-0.0034,0.2412,0.0324,-0.4465,0.5702,0.0248,0.0203,-0.11,0.02,0.0619,0.1045,-4.8,-0.0923,-0.325,2.7,-3.3,0.0181,-0.1398,0.1652,0.0155,-1.2,-0.056,-0.0526,1.9,0.8729,0.0615,-0.1636,-0.3597,2.8,0.132,0.0522,-0.0183,-0.0021,0.6306,0.3348,0.025,0.1212,-0.5989,0.0244,-0.1496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
