Date,Close,High,Low,Open,Volume,YU,CD,AG,MG,CC,NI,DR,XC,AZ,PC,PD,YJ,DH,XA,RO,YP,AT,DX,OD,MI,ZP,AK,RG,FS,YB,LG,KK,GR,TP,SS,XL,CP,QA,AI,SQ,KI,BQ,BK,EP,HD,PI,BB,LS,IF,AO,HP,MU,FZ,GI,BR,RF,ZR,KZ,BS
2026-08-24,805.0,820.0,800.0,810.0,57678100,0.0169,0.0282,0.0,-0.0455,0.7237,0.1618,0.081,0.2455,-0.0012,-500.0,1.9,0.0808,0.0304,0.0142,0.0,1.1,0.0334,-16.1,-0.5599,0.0,-8.8,9.2,0.0097,0.0,-0.128,1.0,0.5236,0.8588,0.0232,0.0,0.2062,0.0984,0.0,-0.0003,0.1729,0.0,0.01,-2.5,0.3623,0.0465,0.0,11.4,0.0,-0.1043,-0.0001,-0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1096
2026-08-26,805.0,825.0,790.0,810.0,76892300,-0.2241,0.5715,0.0158,0.0007,-4.8,1.3,0.2821,-0.0794,-0.2187,0.0,1.2,0.0012,-0.0645,0.0,-0.0116,-1.9,0.0079,-15.7,-0.31,0.0,0.4084,8.9,0.0,0.0081,-0.5277,18.6,-1.4,-0.1522,-0.1575,0.0,3.1,-0.5143,0.003,-0.0106,-0.311,-0.0075,0.0176,-4.4,-0.028,-0.0712,0.0,-3.3,0.0,-0.0103,0.0,0.0235,0.0001,-0.0408,0.0003,-0.163,0.016,-0.0322,0.0072,0.0
2026-08-27,805.0,820.0,800.0,805.0,46279000,3.3,0.0422,-0.0137,0.4018,2.5,0.6073,-0.1961,-0.0091,-0.1268,0.0,0.4786,0.0,0.0264,0.4522,0.0,-1.0,-0.0131,-16.1,0.2456,0.2515,8.7,-1.4,-0.0006,0.0,0.0182,1.1,0.5228,0.364,0.2117,0.0834,0.7308,0.4386,-0.0028,0.0412,0.0929,0.0162,0.1203,-0.8423,-0.7071,-0.0254,-0.0025,-0.1511,-0.1374,0.0406,0.024,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,800.0,810.0,795.0,805.0,33275500,0.1696,-0.041,0.0238,0.0081,-0.6024,8.0,0.2635,0.275,-0.1007,-0.0003,3.7,0.0232,0.8146,0.3469,0.0014,0.8195,-0.0228,-8.6,0.5672,-0.2507,1.7,-5.5,-0.0095,0.0019,-0.0345,0.0009,0.6684,0.2192,-0.5221,0.0032,2.4,-0.2872,0.0101,0.0069,0.353,0.0008,-0.1204,-4.3,0.0481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
