Date,Close,High,Low,Open,Volume,YU,AG,CC,HD,NI,DR,XC,AZ,BB,PD,DH,XA,RO,YP,DX,ZP,AK,RG,ZR,YB,LG,KK,LS,GR,TP,IF,IU,AO,XL,CP,HP,QA,AI,SQ,OK,BQ,BK,EP,CD,MG,FZ,IH,TF,YJ,AT,IN,OD,BS,MI,FS,PO,SF,KI,MU,RB,SH,PG,KZ,AH,SS,AF,ES
2026-08-24,565.0,580.0,560.0,575.0,94696300,-0.4195,-0.662,-0.6076,-0.0192,-0.5284,0.4728,1.7,-0.208,0.0,-1.3,0.2819,0.1661,0.2944,-1.8,0.3536,-1.2,2.4,0.285,0.0,0.0,0.5757,0.3132,0.1022,0.6635,0.3095,-0.1243,0.0,-0.2035,-1.6,0.1168,0.0417,0.0,-0.5509,-0.0344,0.0,0.2425,-0.0948,0.3585,0.0,-0.4276,0.0,0.0,0.0912,0.1441,0.0581,0.0,0.2015,0.086,0.0,0.169,-0.2875,0.0,0.7587,0.0,0.0,-0.1713,0.0,0.0,0.0,0.0,0.04,-0.0917
2026-08-26,545.0,595.0,545.0,565.0,239088200,-2.6,0.0999,-2.0,0.0665,0.4653,-0.6083,2.4,1.4,0.0,3.2,0.6106,0.1604,0.262,3.8,0.4613,-3.7,-11.9,0.0,-0.0058,1.3,0.6151,-0.0523,0.0317,1.3,-0.1144,0.0,0.0,-0.0029,2.1,0.8578,0.0372,0.0,-0.04,-0.2636,0.0,-0.3466,1.9,0.4298,-0.0015,-0.1617,-0.0108,0.0,-0.0058,-0.2459,0.2384,0.0,1.1,0.4382,0.0,-0.5863,0.1525,0.0,-0.686,0.0428,-0.0059,-0.005,-0.0012,-0.0642,-0.0008,-0.1404,0.0,0.0
2026-08-27,570.0,570.0,535.0,540.0,96942100,-0.5566,0.5356,2.5,0.0296,-0.2826,-0.1464,-0.2064,1.0,0.0,-3.6,-0.1023,0.1574,-0.1331,-1.8,0.0578,0.9935,1.0,-0.0565,-0.027,-0.0605,-2.8,-0.5437,0.0416,-0.5858,-0.0311,0.4731,0.0142,0.0,1.2,-1.0,0.0104,0.0061,-0.0062,0.456,0.0,0.6555,1.4,-0.2212,-0.0246,-0.1634,-0.0301,-0.0179,0.027,0.3164,0.1707,0.0092,-0.2457,0.0102,0.0028,0.9323,-0.1388,-0.0003,0.5588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,555.0,575.0,550.0,570.0,71481900,0.6485,-0.018,-5.1,0.5233,0.5906,0.4246,0.742,-2.8,-0.5927,-1.2,0.0663,0.2025,-0.066,3.5,-0.5855,2.9,-5.7,-0.0003,0.0833,0.1121,0.3269,0.267,0.1134,1.1,0.1593,0.0596,-0.0171,0.1428,3.2,0.3168,0.1186,0.1134,-0.0102,0.7161,0.0555,-0.1503,-0.5771,0.2107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
