Date,Close,High,Low,Open,Volume,LG,PD,KI,CP,RO,BQ,CC,KK,YP,OD,EP,NI,XC,XL,TP,HD,SQ,PC,YB,YU,AZ,GR,XA,DH
2026-08-24,725.0,750.0,720.0,750.0,59800,0.0,0.0045,0.0,0.0023,0.0,0.0049,-0.0002,0.0,-0.0,0.0004,0.0,0.0,-0.0021,0.0002,0.0,-0.0101,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
2026-08-26,695.0,725.0,670.0,725.0,203400,0.0001,0.0349,0.0,0.0021,-0.0001,0.0003,-0.0395,0.0046,0.0138,0.0016,0.0001,0.0004,0.0006,-0.0219,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0
2026-08-27,750.0,825.0,690.0,690.0,1253100,-0.0005,-0.0373,-0.0,0.08,-0.0867,-0.0026,-0.0063,-0.0019,0.0027,0.0003,0.0001,-0.1476,0.0485,0.1444,-0.0002,-0.0079,0.007,-0.0001,0.0,0.0079,0.0002,-0.0001,0.0,0.0001
2026-08-28,710.0,770.0,700.0,750.0,731500,0.0003,-0.0019,0.0003,-0.0794,0.0009,-0.0,-0.0188,0.0081,0.001,0.0048,0.0001,-0.0495,-0.003,0.1369,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
