Date,Close,High,Low,Open,Volume,KK,AG,XL,AZ,SQ,GR,XC,YP,NI,CC,LG,XA,PD,OD,ZP,AK
2026-08-24,965.0,965.0,930.0,955.0,25800,0.0043,-0.0003,-0.0138,0.0,-0.0048,0.0,-0.0005,-500.0,0.0,0.0192,0.0,0.0,0.0004,0.0,-0.0023,-0.0022
2026-08-26,995.0,1000.0,965.0,965.0,32300,0.0243,0.0,-0.0034,-0.001,0.0,0.0,-0.0042,0.0001,-0.0013,-0.0142,0.0,-0.0001,-0.0001,-0.0001,0.0,0.0
2026-08-27,995.0,1000.0,990.0,1000.0,18300,0.0127,0.0,-0.0019,-0.0015,-0.0012,-0.0011,-0.0003,-0.0026,-0.0007,-0.0036,0.0001,0.0,0.0,0.0,0.0,0.0
2026-08-28,990.0,1000.0,990.0,995.0,1100,-0.0,0.0,-500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
