Date,Close,High,Low,Open,Volume,PD,AZ,CC,KK,ZP,YP,OD,XC,XL,DR,BQ,NI,YU,CP,RO,DH,PO
2026-08-24,146.0,149.0,143.0,149.0,109300,-0.0044,0.0,0.0017,0.0,0.0001,-0.0047,-0.0019,0.0,0.0084,0.0,0.0,0.0001,0.001,-0.0003,-0.0004,0.0003,0.0
2026-08-26,147.0,148.0,144.0,146.0,172500,0.0015,0.0,0.0007,0.0,0.0001,-0.001,-0.0145,0.001,-0.0041,-0.0015,-0.0,0.0179,0.0,0.0,0.0,0.0,0.0
2026-08-27,146.0,147.0,145.0,146.0,7600,0.0,0.0,0.0003,0.0,0.0,-0.0006,0.0001,-0.0,0.0006,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,146.0,148.0,146.0,148.0,49000,0.0005,0.0027,-0.003,-0.0001,0.0,0.0016,0.0,-0.0,-0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
