Date,Close,High,Low,Open,Volume,BQ,EP,MG,ZR,XA,PC,CC,NI,AO,XL,HD,IH,YJ,XC,EL,LG,SQ,SH,BR,PD,YU
2026-08-24,1135.0,1140.0,1120.0,1140.0,53300,0.0053,0.0059,0.0,0.0048,0.0059,0.0071,0.0003,0.0,-0.0272,-0.0025,0.0044,0.0091,-0.0228,-0.0017,0.0,0.0,0.0,0.0074,0.0059,0.0004,-0.0023
2026-08-26,1135.0,1150.0,1105.0,1120.0,182100,0.0,0.0058,0.0,0.0031,0.0031,0.0802,0.0006,0.0049,-0.0727,-0.0073,0.0,0.0,-0.0539,0.0007,0.0915,0.0004,-0.0002,0.0012,-0.0573,0.0,0.0
2026-08-27,1135.0,1145.0,1100.0,1100.0,211300,0.0,-0.0591,0.0,-0.0063,0.0572,-0.0069,0.0099,0.0,0.0,-0.0002,0.0,-0.0579,0.0567,0.0,0.0072,-0.0005,0.0,0.0,0.0,0.0,0.0
2026-08-28,1135.0,1135.0,1110.0,1135.0,133400,0.0094,0.0078,0.0052,0.01,0.0043,-0.0556,-0.0062,-0.0047,0.0071,-0.0295,0.0002,0.0003,0.0087,-0.0044,0.0474,0.0,0.0,0.0,0.0,0.0,0.0
