Date,Close,High,Low,Open,Volume,YB,CC,HD,NI,DR,AR,XC,ID,AZ,GR,FZ,IH,PC,PD,IU,AK,RO,YP,XL,CP,BR,KI,SQ,BQ,ZP,BK,EP,CD,AG,MG,LG,TP,DH,XA,SH,AO,AT,IC,IN,OD,HP,KK,IF,AI
2026-08-24,183.0,184.0,182.0,184.0,16915800,-0.0231,-0.181,0.0,0.011,0.0,-0.0136,0.0033,0.0583,0.0384,0.0,0.0023,-0.1255,0.0717,0.0022,0.0491,0.2083,0.0,-0.002,0.0536,0.0956,-0.04,0.0,0.0098,0.0,-0.2024,0.0819,-0.0139,0.0,0.0,-0.0385,0.0,0.0,0.0,-0.0092,0.0,0.0,-0.0,0.0,0.0,-0.0364,0.0,0.0001,0.0,0.0
2026-08-26,180.0,184.0,179.0,183.0,41673100,0.0015,-0.2899,0.0,-0.0128,0.0,0.1723,0.0046,-0.0372,-0.0974,0.0,0.0493,0.3853,0.0784,-0.0115,0.1528,0.5991,0.0003,-0.1441,0.0418,-0.0438,0.7633,0.0,-0.0147,-0.0003,0.0536,-0.0195,0.1831,0.0,0.183,-0.0385,0.0,0.0,0.0014,0.1831,0.5503,0.3661,0.0001,0.0,0.0,0.0056,0.0001,100.0,-0.0269,-3.0
2026-08-27,181.0,181.0,178.0,180.0,31208000,0.0,-0.2554,0.0004,-0.0038,0.0,0.0781,-0.0064,0.0881,0.1253,0.0,0.0478,0.2206,0.0694,0.0028,-0.076,-0.0801,0.0,0.0041,-0.0385,0.0741,0.1766,0.0,0.0,0.0,0.3379,-0.0575,-0.0,0.0,0.179,-0.0895,-0.0001,-0.0043,-1.8,0.0,0.358,0.358,-0.0001,0.179,0.09,0.0124,0.0001,0.0,0.0,0.0
2026-08-28,181.0,183.0,179.0,181.0,27436000,0.0005,0.008,-0.0002,-0.0001,-0.0,-0.0979,-0.0042,0.0961,-0.0479,-0.0396,-0.0212,0.1146,-0.0199,0.0026,0.1517,-0.1525,-0.0003,0.0083,0.0582,-0.0795,0.2238,0.1005,0.0015,0.0003,-0.2792,-0.0054,-0.0182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
