Date,Close,High,Low,Open,Volume,FS,MG,YB,CC,HD,NI,LG,DR,KK,XC,AZ,GR,PC,FZ,BK,PD,TP,IF,DH,XA,IU,RO,AT,YP,XL,CP,JB,OD,QA,HP,SQ,KI,BQ,AK,EP,YJ,PG,ZP,AI,AG,LS,ID
2026-08-24,75.0,78.0,75.0,78.0,12327700,0.0,0.0,-0.0202,0.0099,-0.0052,0.0052,-0.0,0.0152,-0.0053,-0.0755,0.0127,0.0156,0.0,-0.0,-0.0278,-0.0101,0.0023,0.0,-0.0047,0.0,0.0112,-0.0022,0.0083,-0.0487,0.2054,0.0075,0.0,-0.0137,-0.0016,0.0,0.0009,0.0,0.0017,-0.0528,-0.0147,0.0,0.0,-0.0133,0.0,0.0,-0.0,0.0
2026-08-26,71.0,78.0,71.0,75.0,27168700,0.0036,0.0114,0.0294,-0.1495,-0.0013,0.0134,0.0002,0.0511,-0.0067,0.0014,0.0412,0.0041,0.0,0.011,-0.0011,-0.0008,0.0,0.0074,-0.018,0.0037,0.0248,0.0,0.0879,-0.0839,0.0585,-0.0045,0.0007,0.029,-0.0002,0.0,-0.0273,0.0006,-0.0068,-0.0959,0.0095,0.0,0.0002,0.0048,0.0036,-0.0001,-0.0089,0.0076
2026-08-27,74.0,76.0,70.0,72.0,14983100,-0.0038,0.0,-0.0293,0.2025,0.001,-0.0013,0.0,-0.0083,-0.0123,0.0119,-0.049,-0.0189,0.0,-0.0108,0.0173,0.0168,0.0,0.0,-0.0,-0.0039,-0.0311,0.0003,0.0709,-0.0986,-0.0549,0.0005,0.0,0.0009,0.0007,0.0,-0.0022,0.0,0.0002,0.1517,-0.0021,-0.0444,-0.0953,-0.0088,-0.0,0.0,0.0,0.0
2026-08-28,73.0,76.0,72.0,75.0,15730400,0.0022,-0.0073,0.0014,0.0304,-0.0002,0.0029,-0.0046,-0.0002,-0.0341,-0.1381,0.0,-0.0002,0.0009,-0.0,-0.0175,-0.0502,0.0015,-0.0032,0.0103,-0.0004,0.0015,-0.0005,0.0795,0.0065,0.0894,0.0073,-0.0089,0.0001,0.0008,-0.0007,0.0156,0.0002,0.0096,0.013,-0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
