Date,Close,High,Low,Open,Volume,AK,BQ,DR,GR,HP,RO,SQ,DH,OD,XC,KK,AT,LG,PD,AZ,EP,XA,CC,NI,YB,ZP,XL,PO,YP,CP,QA,KI,BK,TP,DX,SF,PG,MG,PC,AG,IF,CD,YU
2026-08-24,59.0,61.0,59.0,60.0,12904200,-0.009,0.0001,0.0,0.0214,0.0,0.0,-0.013,0.038,0.0002,-0.0276,0.0002,-0.0059,-0.0001,0.0149,0.0029,0.0003,-0.0049,-0.0918,0.0171,0.0016,0.0,0.0308,0.0005,0.0542,-0.0317,0.0001,0.01,0.0,0.0009,-0.0024,0.0,0.0,0.0,0.0,-0.0008,0.0,0.0,-0.006
2026-08-26,55.0,60.0,55.0,60.0,28342500,0.0031,0.005,0.0007,0.0048,0.0001,0.0,0.0484,0.0275,0.018,-0.0612,-0.0005,0.0078,0.0005,0.026,0.0257,-0.0097,-0.0411,-0.0154,0.0011,0.0002,0.0,-0.1206,0.0,0.0706,0.0001,0.0004,0.0118,0.0017,0.0012,0.0,-0.0058,0.0002,-0.0,-0.0,-0.0001,0.0,-0.0005,0.0
2026-08-27,58.0,59.0,54.0,54.0,26150900,0.0166,-0.0142,0.0129,-0.002,0.0009,0.0003,-0.0107,0.001,0.0026,-0.0137,-0.0024,0.0009,0.0022,-0.0084,-0.0347,0.017,-0.0003,-0.007,0.0021,-0.0001,0.0,0.212,0.001,-0.1813,-0.0001,0.0049,0.0,0.0,-0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,57.0,59.0,56.0,58.0,18212100,-0.0013,0.0,-0.013,-0.0,0.0,-0.0029,-0.0137,0.0186,0.006,0.0124,0.0213,-0.0004,0.0,-0.0004,0.0004,-0.0157,-0.001,0.0907,0.0026,0.0001,-0.1197,-0.032,0.0011,-0.0004,0.0167,-0.0045,0.0359,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
