Date,Close,High,Low,Open,Volume,FS,AZ,EP,HD,ZP,SQ,GR,DP,KI,YP,LG,OD,TP,CP,KK,XL,XA,IT,YB,DX,XC,PD,AK,BK,DH,NI,CC,IF,DR,AG,YU,BQ,YJ,RO,KZ,CD
2026-08-24,2490.0,2530.0,2460.0,2530.0,570600,0.0012,-0.0179,0.0,0.0005,0.018,-0.0033,-0.008,0.338,0.0,-0.0073,0.0,-0.0012,0.1537,0.1238,-0.0172,0.0378,0.0,0.0,0.005,0.0,0.0067,0.1409,-0.0025,-0.0658,0.011,-0.1271,-0.2696,0.0283,0.0,0.005,0.0037,0.0002,0.0,0.0,-0.3539,0.0
2026-08-26,2500.0,2540.0,2440.0,2490.0,655600,0.0,-0.0008,0.0,-0.0007,0.1809,-0.3376,-0.052,0.9606,0.0508,0.0236,0.0,0.0008,0.0,0.0019,0.0249,-0.3196,0.0125,0.0,-0.0063,0.0,0.001,-0.176,-0.0124,-0.1006,0.0074,-0.0033,-0.1253,0.0,-0.0002,0.0,0.0025,0.0,0.0,0.0,-0.1283,-0.0037
2026-08-27,2570.0,2570.0,2500.0,2510.0,1038800,-0.0013,-0.0028,0.0,0.0018,0.3497,-0.1301,-0.0084,1.7,0.0127,-0.0242,-0.0054,0.0007,-0.6127,-0.0257,-0.1183,-0.2865,0.0,0.0,-0.0116,-0.001,-0.0223,-0.0604,-0.0015,0.0,-0.0128,-0.0834,-0.2146,-0.3016,-0.1024,-0.0101,0.0013,0.0051,-0.0092,-0.0102,0.0,0.0
2026-08-28,2600.0,2620.0,2560.0,2580.0,1911400,-0.0013,-0.0021,-0.1084,0.0021,0.7306,-0.2655,-0.0232,3.5,0.0002,-0.1354,-0.24,-0.0112,-0.1612,-0.0129,-0.0731,-2.4,-0.1297,-0.1303,-0.0091,-0.001,-0.1939,-0.0349,-0.0489,-0.0179,-0.0044,-0.0602,-0.0501,-0.0934,-0.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
