Date,Close,High,Low,Open,Volume,TS,PD,AT,CP,BQ,RO,HP,ZP,ID,EP,SQ,NI,PC,IF,DR,XL,BK,FS,MG,AZ,KI,AK,GR,CC,KK,AG,YP,XA,OD,RG,PG,XC,KZ,TP,AI,RX,LG,YB,YU,DH
2026-08-24,2280.0,2390.0,2160.0,2330.0,6907300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-26,2260.0,2660.0,2140.0,2280.0,8516900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,2370.0,2410.0,2160.0,2260.0,4238600,0.0,0.1728,0.0002,0.0724,0.0273,0.0042,-0.0228,-0.4919,-0.0123,0.0092,0.9058,0.0116,-0.0929,0.005,-0.0005,0.7004,0.986,-0.1633,-0.0073,0.0065,0.0043,0.9083,0.0213,-0.3364,-0.0215,0.0,0.0013,0.0009,-0.0269,-0.0118,0.0012,-0.2128,0.0,-0.0012,0.001,-0.3965,-0.0001,0.0034,-2.0,-0.0054
2026-08-28,2450.0,2520.0,2330.0,2400.0,5863700,0.5354,0.1471,0.0035,-0.0211,0.093,0.0097,0.0031,0.0718,-0.0002,0.0389,0.1483,0.009,0.0018,0.0048,-0.0003,0.665,0.7726,0.1198,0.0074,0.0674,0.0448,1.8,0.0908,0.0875,0.0457,-0.0401,0.5221,-0.0001,0.1841,-0.0003,-0.0002,0.0734,-5.5,-0.0108,0.0,0.0,0.0,0.0,0.0,0.0
