Date,Close,High,Low,Open,Volume,MG,YU,PD,CP,BQ,GR,CC,KK,ZP,YP,EP,NI,OD,XL,KI,PO,XC
2026-08-24,550.0,550.0,540.0,550.0,31900,0.0,0.0,0.0005,0.0,-0.0014,0.0,-0.0001,0.0031,0.0,-0.0026,0.0022,0.0028,0.0,0.0081,0.0,-0.0125,500.0
2026-08-26,540.0,550.0,535.0,540.0,40200,-0.0021,0.0,-0.0004,0.0,0.0001,0.0,0.0074,0.0016,0.0,0.0002,0.0004,0.0016,0.0,-0.0054,0.0001,-0.0027,-0.0008
2026-08-27,545.0,545.0,535.0,535.0,115000,0.0,0.0,0.0004,0.0,0.0,0.0,0.0512,0.0,0.0,-0.051,0.0045,0.0,0.0011,-0.0012,-0.0001,-0.0049,0.0001
2026-08-28,540.0,545.0,530.0,540.0,108700,0.0011,0.0096,0.0004,0.008,0.0005,-0.0534,0.0219,0.008,0.0003,0.0001,0.0014,0.0014,0.0014,-0.0007,0.0,0.0,0.0
