Date,Close,High,Low,Open,Volume,DH,IF,NI,YB,SQ,XL,YP,AT,MG,CC,AG,BQ,PD,GI,HP,XC,PI,AI,GR,RO,KK,DR,LG,EP,DX,OD,TP
2026-08-24,17.0,17.0,17.0,17.0,3228800,0.0052,0.0,0.0,0.0,0.0003,-0.0385,0.0187,0.0,0.0092,-0.0009,0.0,0.004,0.0011,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,-0.0017,0.0,0.0,0.0006,0.0,0.0
2026-08-26,16.0,17.0,16.0,17.0,1777800,0.0008,0.0,0.0002,0.0011,0.0001,-0.0005,0.0006,0.0,0.0128,0.0004,0.0,-0.0015,0.0008,0.0,0.0,0.0032,0.0,-0.0158,-0.0015,0.0,0.0,-0.0007,0.0,-0.0004,0.0004,-0.0,0.0
2026-08-27,16.0,17.0,16.0,16.0,2245900,0.0104,0.0,0.0,-0.0,-0.0005,0.0133,0.0001,-0.0001,-0.0095,0.0033,0.0,0.0006,0.0008,0.0,0.0,0.0003,0.0002,-0.0184,-0.0005,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,17.0,17.0,17.0,17.0,1747400,0.0001,-0.0003,0.0,0.001,0.0003,0.0104,0.0002,-0.0001,-0.007,0.0009,0.001,-0.0087,-0.0002,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
