Date,Close,High,Low,Open,Volume,CD,AG,CC,NI,DR,XC,AZ,PC,PD,YJ,DH,RB,XA,RO,YP,AT,OD,ZP,AK,YB,LG,KK,LS,ID,GR,TP,XL,CP,HP,SQ,KI,BQ,BK,EP,AR,FZ,IF,AO,YU,FS,MG,RG,QA,MI,BR
2026-08-24,228.0,230.0,224.0,230.0,2428700,0.0,0.0011,0.0314,0.0091,-0.0073,0.006,0.0085,0.0,0.0226,0.0046,0.0023,0.0,0.0011,0.0,-0.0364,-0.0002,0.0173,0.0023,0.0,0.0,-0.0034,0.0046,0.0,0.0011,-0.0016,0.0406,-0.2217,0.0066,0.0,0.0078,0.0008,0.0007,0.0089,-0.0183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,0.0,0.0,0.113
2026-08-26,220.0,228.0,220.0,228.0,5089300,0.0066,0.0024,-0.0538,-0.0632,0.0095,0.0018,-0.0,0.0,0.0245,0.0022,0.0125,0.0,-0.0001,-0.0,0.0345,0.022,-0.0163,-0.1666,-0.0005,0.0051,0.0448,0.0127,0.0066,0.0,0.0032,0.0547,-0.0916,0.0538,0.0091,0.0532,-0.001,0.01,0.0118,0.002,0.0,0.0,0.0,0.0,0.0133,0.0027,-0.0044,-0.0052,-0.0014,0.005,0.0
2026-08-27,224.0,226.0,218.0,220.0,1732000,0.0,0.0,-0.1628,0.0077,-0.0018,-0.0106,0.0,0.0,0.037,-0.0045,0.0057,0.0,-0.0018,0.0002,0.0109,-0.0192,0.0024,0.0022,0.0,0.0049,0.0,0.0201,0.0,0.0,0.0,0.0227,-0.0154,-0.0044,0.0,0.0226,-0.0,0.0001,0.0099,-0.0329,-0.0224,-0.0022,-0.0004,0.1319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,228.0,230.0,224.0,224.0,3918600,-0.0068,-0.0097,-0.0223,-0.0341,0.0007,-0.0067,0.0005,0.056,0.012,0.0228,-0.0338,0.1225,-0.0052,-0.0008,0.1176,-0.0258,-0.0166,-0.0107,-0.0495,-0.0135,-0.0456,-0.0087,-0.0068,-0.0011,-0.0006,0.1215,-0.0537,-0.0116,0.0008,-0.0151,-0.0005,-0.0,-0.0372,-0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
