Date,Close,High,Low,Open,Volume,CP,KK,XL,SQ,BQ,PD,XC,YP,CC,OD,FZ,GR,AK,BK,NI,YU,DR,TP,AZ,QA,DH,AT,RO
2026-08-24,1165.0,1250.0,1150.0,1250.0,83400,0.0071,0.0118,-0.0175,0.0071,0.0,0.0008,0.0089,-0.001,-0.002,-0.0032,0.0,0.0,0.0001,0.0,0.0,-0.0141,0.0,0.0,0.0005,0.0007,0.0,0.0007,0.0001
2026-08-26,1120.0,1220.0,1115.0,1220.0,85000,0.0,-0.0003,0.0205,0.0031,0.0079,-0.0219,-0.0042,0.0078,0.0001,-0.0025,0.0,0.0,0.0001,0.0,0.0002,-0.0119,0.0,0.0012,0.0003,-0.0009,0.0006,0.0,0.0
2026-08-27,1145.0,1155.0,1115.0,1120.0,74600,0.0,0.0001,0.0005,0.0021,0.0001,0.0,-0.005,0.0012,0.0136,0.0,0.0001,0.0223,0.0001,-0.0016,0.0014,-0.028,-0.007,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,1125.0,1160.0,1125.0,1160.0,9600,-0.0002,0.0002,-0.0059,0.0025,0.0008,0.0001,-0.0005,0.0024,0.0001,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
